Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1840406959
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
69000	-8.791779	173	14.570216	4.986048	0.411129	0.588871	0.934233	0.065767	0.070660	0.929340	
70000	-9.378758	268	5.448360	16.409460	0.235869	0.764131	--	--	0.005977	0.994023	
71000	-8.151625	89	3.124783	8.963738	0.104311	0.895689	--	--	0.005505	0.994495	
72000	-7.800905	489	8.543736	2.988064	0.372743	0.627257	0.997294	0.002706	0.021849	0.978151	
73000	-7.837439	417	6.158968	5.828224	0.158391	0.841609	0.988334	0.011666	0.014663	0.985337	
74000	-7.956090	52	10.031294	7.954025	0.361636	0.638364	--	--	0.062164	0.937836	
75000	-8.057209	149	7.193514	9.823879	0.168829	0.831171	0.924714	0.075286	0.038893	0.961107	
76000	-8.328590	409	13.428974	6.684619	0.431022	0.568978	0.956452	0.043548	0.116708	0.883292	
77000	-7.793364	465	8.472834	11.132005	0.358083	0.641917	--	--	0.029219	0.970781	
78000	-8.680426	412	12.928012	2.944026	0.438975	0.561025	0.955636	0.044364	0.062241	0.937759	
79000	-7.494174	2	4.411295	5.204156	0.177050	0.822950	0.969291	0.030709	0.021952	0.978048	
80000	-7.769043	391	8.576080	6.008253	0.392911	0.607089	0.992466	0.007534	0.034147	0.965853	
81000	-8.526290	115	11.682122	2.929213	0.465941	0.534059	0.894152	0.105848	0.035055	0.964945	
82000	-8.579640	383	17.935208	9.276613	0.459221	0.540779	0.767846	0.232154	0.140827	0.859173	
83000	-7.749649	360	5.215961	2.715418	0.136735	0.863265	0.997191	0.002809	0.008240	0.991760	
84000	-8.315285	472	7.888997	6.304312	0.285093	0.714907	0.781564	0.218436	0.024387	0.975613	
85000	-8.175674	498	6.284358	5.695416	0.274992	0.725008	--	--	0.037105	0.962895	
86000	-7.607370	224	13.475497	14.729157	0.367726	0.632274	0.977322	0.022678	0.028309	0.971691	
87000	-7.717983	187	9.221203	5.755648	0.268240	0.731760	0.761178	0.238822	0.023403	0.976597	
88000	-8.473654	483	18.120768	11.317234	0.423008	0.576992	0.928638	0.071362	0.141491	0.858509	
89000	-7.403370	405	8.562155	5.523746	0.321239	0.678761	0.982797	0.017203	0.046172	0.953828	
90000	-8.008212	268	7.210258	8.470276	0.252996	0.747004	--	--	0.008849	0.991151	
91000	-8.383778	228	10.620944	5.384465	0.373076	0.626924	0.988144	0.011856	0.104998	0.895002	
92000	-7.834053	84	4.032650	2.662934	0.137486	0.862514	0.996215	0.003785	0.002431	0.997569	
93000	-8.313860	24	7.348705	9.696363	0.365960	0.634040	0.900132	0.099868	0.031687	0.968313	
94000	-7.587533	135	12.459610	6.919632	0.413470	0.586530	--	--	0.049578	0.950422	
95000	-9.310873	363	8.325155	19.315101	0.385754	0.614246	--	--	0.048517	0.951483	
96000	-8.337161	408	8.180243	11.095117	0.320729	0.679271	0.663157	0.336843	0.031507	0.968493	
97000	-7.487409	129	7.981011	8.514648	0.260075	0.739925	0.956205	0.043795	0.021221	0.978779	
98000	-8.008622	227	5.960357	8.754603	0.240393	0.759607	0.717760	0.282240	0.007113	0.992887	
99000	-8.484238	190	6.130641	1.354182	0.264666	0.735334	--	--	0.014456	0.985544	
100000	-7.679149	349	6.954773	3.811021	0.211608	0.788392	0.993140	0.006860	0.013975	0.986025	
101000	-8.466938	120	11.455164	15.316088	0.453433	0.546567	--	--	0.057196	0.942804	
102000	-8.715035	107	2.609213	10.068967	0.097589	0.902411	0.626036	0.373964	0.003572	0.996428	
103000	-8.034675	211	11.201937	4.454670	0.435978	0.564022	0.975790	0.024210	0.064527	0.935473	
