Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1107730964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
123000	-8.084399	171	2.605556	4.505392	0.068761	0.931239	0.987156	0.012844	0.005805	0.994195	
124000	-8.168848	481	11.254814	7.830205	0.447016	0.552984	0.972841	0.027159	0.023554	0.976446	
125000	-7.692747	388	5.041114	7.138715	0.218389	0.781611	--	--	0.012168	0.987832	
126000	-8.793580	473	12.916790	4.494436	0.371054	0.628946	--	--	0.044384	0.955616	
127000	-8.090877	345	6.548685	3.284254	0.242754	0.757246	0.893155	0.106845	0.030142	0.969858	
128000	-8.126657	98	5.384835	6.150959	0.208072	0.791928	0.963680	0.036320	0.012639	0.987361	
129000	-8.292379	26	16.903683	9.080882	0.444984	0.555016	0.962422	0.037578	0.074692	0.925308	
130000	-8.168773	138	13.667866	15.926850	0.429121	0.570879	0.923037	0.076963	0.049523	0.950477	
131000	-8.063233	227	6.483123	3.193242	0.230169	0.769831	0.884031	0.115969	0.007631	0.992369	
132000	-7.221322	320	5.601942	5.034979	0.174799	0.825201	--	--	0.025961	0.974039	
133000	-9.306008	224	12.491899	0.791000	0.773071	0.226929	0.999916	0.000084	0.020385	0.979615	
134000	-8.211684	227	2.160629	4.059309	0.044233	0.955767	0.685400	0.314600	0.000907	0.999093	
135000	-8.396363	135	11.751518	18.421664	0.444620	0.555380	--	--	0.054951	0.945049	
136000	-8.765623	211	2.133569	2.219214	0.069567	0.930433	0.978876	0.021124	0.002873	0.997127	
137000	-7.941445	120	8.823327	8.550384	0.392506	0.607494	--	--	0.032576	0.967424	
138000	-8.531413	403	1.533826	1.731720	0.038741	0.961259	0.818617	0.181383	0.002178	0.997822	
139000	-8.004326	76	6.474956	11.189030	0.232587	0.767413	--	--	0.007746	0.992254	
140000	-7.593937	373	10.011514	8.750264	0.364072	0.635928	--	--	0.038407	0.961593	
141000	-8.029208	222	3.541100	9.085479	0.084291	0.915709	0.681235	0.318765	0.002564	0.997436	
142000	-9.186745	61	3.270652	11.826802	0.073840	0.926160	0.821752	0.178248	0.004860	0.995140	
143000	-8.961274	357	4.249364	17.262076	0.115611	0.884389	--	--	0.010635	0.989365	
144000	-7.541945	138	9.072276	5.173657	0.294366	0.705634	0.986886	0.013114	0.020251	0.979749	
145000	-8.981573	104	7.644867	0.711869	0.551950	0.448050	0.999306	0.000694	0.016346	0.983654	
146000	-7.807594	232	9.088315	2.345568	0.360585	0.639415	0.995185	0.004815	0.057458	0.942542	
147000	-7.858599	214	11.199154	8.177463	0.332994	0.667006	--	--	0.029649	0.970351	
148000	-8.206467	332	5.140602	12.709418	0.213250	0.786750	--	--	0.002203	0.997797	
149000	-8.325412	112	20.258148	13.908191	0.458329	0.541671	0.972592	0.027408	0.075446	0.924554	
150000	-7.717179	500	13.707977	6.375297	0.354621	0.645379	--	--	0.065300	0.934700	
151000	-7.117168	12	8.474663	6.275202	0.315042	0.684958	0.891169	0.108831	0.003484	0.996516	
152000	-8.087155	334	12.005608	13.657500	0.364144	0.635856	--	--	0.032831	0.967169	
