Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            371628164
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
88000	-7.127607	295	5.322476	4.142292	0.114492	0.885508	0.712034	0.287966	0.008472	0.991528	
89000	-8.746418	16	4.199430	4.860441	0.191878	0.808122	--	--	0.005253	0.994747	
90000	-9.179523	16	10.592740	2.414080	0.482440	0.517560	--	--	0.029616	0.970384	
91000	-8.970436	311	12.211702	3.222091	0.424582	0.575418	0.844257	0.155743	0.042703	0.957297	
92000	-7.623972	167	3.462827	5.121441	0.091036	0.908964	0.805034	0.194966	0.006226	0.993774	
93000	-7.449867	431	4.933216	3.501720	0.131346	0.868654	0.993002	0.006998	0.005706	0.994294	
94000	-7.605364	500	2.414049	3.115317	0.033410	0.966590	--	--	0.002476	0.997524	
95000	-8.057990	253	9.237434	5.214144	0.293169	0.706831	0.968452	0.031548	0.028324	0.971676	
96000	-7.831373	281	9.911898	6.600311	0.257047	0.742953	0.974738	0.025262	0.036516	0.963484	
97000	-7.894697	355	3.283322	5.184268	0.069508	0.930492	0.968853	0.031147	0.004707	0.995293	
98000	-7.974631	157	3.613846	5.773004	0.164446	0.835554	--	--	0.005163	0.994837	
99000	-7.464693	306	6.681193	5.883056	0.162086	0.837914	--	--	0.018660	0.981340	
100000	-8.976459	493	1.176293	1.380427	0.015125	0.984875	0.985662	0.014338	0.000906	0.999094	
101000	-7.350452	447	5.203626	6.159580	0.100455	0.899545	0.859997	0.140003	0.012841	0.987159	
102000	-8.293049	235	12.166968	12.565226	0.437020	0.562980	--	--	0.046598	0.953402	
103000	-7.942172	345	5.088357	8.103653	0.196120	0.803880	0.734426	0.265574	0.021645	0.978355	
104000	-7.975196	427	8.505847	6.932278	0.307024	0.692976	0.953819	0.046181	0.032842	0.967158	
105000	-7.978539	170	2.920457	3.441235	0.065078	0.934922	--	--	0.002744	0.997256	
106000	-8.908921	472	19.756222	11.924774	0.460018	0.539982	0.768021	0.231979	0.124581	0.875419	
107000	-8.392823	483	15.741233	13.985656	0.412060	0.587940	0.901296	0.098704	0.121440	0.878560	
108000	-7.522686	72	5.677752	4.406551	0.247043	0.752957	--	--	0.015849	0.984151	
109000	-7.440141	198	6.006838	4.817376	0.251598	0.748402	0.984327	0.015673	0.016829	0.983171	
110000	-8.506390	240	12.455588	18.237165	0.417701	0.582299	0.752727	0.247273	0.066414	0.933586	
111000	-8.256471	475	13.883321	5.074941	0.384777	0.615223	0.988508	0.011492	0.046882	0.953118	
112000	-9.091503	413	4.546196	1.124900	0.227798	0.772202	--	--	0.010043	0.989957	
113000	-7.202899	145	5.854669	6.463406	0.206330	0.793670	0.807887	0.192113	0.015068	0.984932	
114000	-7.274153	30	5.869048	6.671609	0.242879	0.757121	--	--	0.022134	0.977866	
115000	-9.789692	192	19.489056	3.238938	0.471647	0.528353	--	--	0.088397	0.911603	
116000	-8.257492	447	17.292256	4.828350	0.370794	0.629206	0.950818	0.049182	0.091434	0.908566	
117000	-9.940926	324	8.555509	22.598417	0.448901	0.551099	0.453915	0.546085	0.051269	0.948731	
118000	-7.557715	460	12.541969	7.502862	0.394127	0.605873	--	--	0.049636	0.950364	
119000	-9.363045	13	24.286510	12.275915	0.463081	0.536919	--	--	0.143857	0.856143	
120000	-8.045196	336	13.655294	12.406044	0.428894	0.571106	0.884257	0.115743	0.061082	0.938918	
121000	-7.945331	48	7.983675	3.185297	0.253200	0.746800	--	--	0.038853	0.961147	
122000	-7.277962	333	6.681388	5.518825	0.287953	0.712047	0.987618	0.012382	0.009782	0.990218	
123000	-7.956346	307	11.337160	4.962165	0.385457	0.614543	--	--	0.051287	0.948713	
124000	-8.237827	213	9.023011	7.392378	0.322898	0.677102	0.757718	0.242282	0.022660	0.977340	
125000	-8.208799	425	14.568124	4.891606	0.454681	0.545319	--	--	0.103601	0.896399	
126000	-8.048071	187	4.225656	2.731448	0.102367	0.897633	0.772884	0.227116	0.004997	0.995003	
127000	-8.279079	299	2.000132	5.335274	0.043165	0.956835	--	--	0.002723	0.997277	
128000	-7.196045	82	6.284857	4.247239	0.251327	0.748673	0.893377	0.106623	0.014191	0.985809	
129000	-8.796123	269	0.851890	4.139017	0.003459	0.996541	--	--	0.000067	0.999933	
130000	-7.656186	332	3.903222	3.954018	0.106739	0.893261	--	--	0.001117	0.998883	
131000	-7.985896	281	10.335571	4.963375	0.260253	0.739747	0.985238	0.014762	0.038123	0.961877	
132000	-7.610970	446	6.004077	7.868222	0.202290	0.797710	0.975186	0.024814	0.025524	0.974476	
133000	-8.626913	271	11.213545	18.393154	0.413354	0.586646	--	--	0.061822	0.938178	
134000	-7.950175	413	3.527790	5.701524	0.086958	0.913042	--	--	0.006980	0.993020	
135000	-8.479990	210	14.363927	9.348287	0.444004	0.555996	--	--	0.172298	0.827702	
