Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            777135391
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
114000	-45.611032	456	3.338598	4.734448	0.682139	3.655864	0.148253	0.458585	0.096051	0.297111	
115000	-38.976403	359	0.905124	4.196073	2.768333	1.381705	0.554276	0.035391	0.385705	0.024628	
116000	-40.098827	359	1.879660	1.735954	4.001573	2.176318	0.816297	0.128357	0.047826	0.007520	
117000	-42.762027	408	1.746321	4.285932	3.379132	3.251261	0.450242	0.181922	0.261981	0.105855	
118000	-43.306662	471	2.299835	4.361483	1.980732	3.470926	0.503688	0.178259	0.234915	0.083138	
119000	-38.135200	43	1.135001	1.370127	3.391604	2.074837	0.850656	0.114963	0.030288	0.004093	
120000	-38.700003	43	1.178166	0.920176	2.107759	2.541717	0.785454	0.199912	0.011665	0.002969	
121000	-41.370260	379	0.652808	2.611459	1.592659	5.454264	0.168367	0.430919	0.112579	0.288135	
122000	-40.693267	90	0.372231	1.817425	2.765423	3.354306	0.403944	0.241292	0.222096	0.132668	
123000	-42.172118	450	1.463425	1.216830	2.038200	3.654001	0.515897	0.441545	0.022931	0.019626	
124000	-41.452522	92	1.203711	1.924579	2.344652	1.264880	0.825838	0.063653	0.102601	0.007908	
125000	-42.186865	48	1.393369	5.055424	3.523629	4.178916	0.473314	0.181281	0.249750	0.095655	
126000	-41.019924	307	1.218487	4.323327	1.441778	2.107270	0.472463	0.156889	0.278251	0.092398	
127000	-42.888186	171	1.701914	2.312304	5.783132	4.276995	0.593219	0.298269	0.072207	0.036305	
128000	-40.394710	371	0.762884	2.697450	3.955940	0.566722	0.708523	0.009758	0.277891	0.003827	
129000	-42.496972	366	1.121778	6.078705	3.531411	2.043629	0.423870	0.055735	0.459919	0.060476	
130000	-42.556039	252	1.315314	2.967322	4.262881	1.885154	0.504788	0.154802	0.260518	0.079892	
131000	-44.523804	13	3.039515	3.828463	5.077055	3.895394	0.515469	0.227974	0.177885	0.078672	
132000	-40.163555	97	0.716766	4.832400	2.276207	0.292805	0.488136	0.001059	0.509700	0.001105	
133000	-40.839752	58	1.545319	2.209471	4.642709	3.930057	0.663027	0.240219	0.071023	0.025732	
134000	-42.288697	289	1.601913	0.973491	3.630361	0.537029	0.957529	0.012342	0.029745	0.000383	
135000	-44.473207	35	3.513021	3.585208	3.939791	1.770905	0.505728	0.123797	0.297620	0.072854	
136000	-39.064880	458	1.172314	2.558575	2.792079	0.503429	0.881727	0.004393	0.113316	0.000565	
137000	-39.847472	312	0.808091	0.628134	2.570366	0.737516	0.974192	0.020725	0.004976	0.000106	
138000	-41.215816	230	1.342871	0.609103	3.580217	0.539824	0.983170	0.008792	0.007967	0.000071	
139000	-42.446578	225	1.294349	1.350875	5.541773	3.900917	0.628154	0.327748	0.028978	0.015120	
140000	-48.072628	52	1.725956	4.320999	3.964609	6.633800	0.374735	0.284283	0.193891	0.147091	
141000	-41.930504	396	2.277554	1.581746	3.608236	1.850781	0.850869	0.095876	0.047862	0.005393	
142000	-41.524800	417	1.189626	1.699740	1.881753	1.152868	0.865439	0.055104	0.074702	0.004756	
143000	-40.311858	69	1.229481	0.665578	3.344918	1.962549	0.769278	0.208142	0.017771	0.004808	
144000	-41.988118	68	1.691392	3.802322	1.910392	5.752954	0.614727	0.258314	0.089394	0.037564	
145000	-42.345328	310	1.402401	8.833184	2.697612	2.784010	0.314805	0.107060	0.431418	0.146718	
146000	-41.187338	124	2.124628	3.716963	2.117752	3.131486	0.451333	0.264144	0.179481	0.105042	
147000	-42.708617	371	3.558268	7.106989	3.052165	0.897846	0.574182	0.018649	0.394360	0.012809	
148000	-42.072512	230	0.670065	4.616942	1.095736	0.199693	0.528752	0.000499	0.470304	0.000444	
149000	-44.085021	252	2.049792	8.365659	3.712636	3.955577	0.256193	0.203714	0.300861	0.239232	
150000	-40.521604	43	2.348729	1.238298	5.101296	1.795262	0.873987	0.095926	0.027112	0.002976	
151000	-40.764463	147	0.770745	4.976723	2.050622	0.536871	0.478368	0.004633	0.512041	0.004959	
152000	-39.903253	187	0.821589	4.139761	2.551917	2.566619	0.503062	0.131880	0.289233	0.075824	
153000	-42.697766	144	2.119566	2.429330	4.285319	2.003249	0.684490	0.146497	0.139217	0.029796	
154000	-42.472349	235	2.562848	3.457466	4.273650	3.272319	0.538408	0.195433	0.195277	0.070882	
155000	-44.606446	23	2.417359	7.019672	3.846719	7.037488	0.234488	0.232962	0.267145	0.265406	
156000	-42.138349	177	1.175555	5.630290	4.583623	2.500148	0.409215	0.124617	0.357346	0.108822	
157000	-39.161754	43	2.440938	1.766956	2.737524	0.912357	0.916011	0.021300	0.061265	0.001425	
158000	-42.444538	351	2.089873	3.419776	2.606320	2.401564	0.522470	0.172587	0.229224	0.075719	
159000	-43.940471	32	0.927348	1.490914	0.810276	1.935156	0.509144	0.371133	0.069247	0.050476	
160000	-44.728626	313	1.563391	0.744387	4.646489	0.762317	0.979873	0.012194	0.007835	0.000098	
161000	-40.636919	359	1.052368	7.770574	2.549649	1.388680	0.365293	0.024701	0.571371	0.038635	
162000	-42.154280	198	1.970103	8.272763	3.752394	2.740132	0.373344	0.078086	0.453682	0.094888	
163000	-43.036927	307	1.626987	3.567455	5.167881	6.882535	0.412301	0.310063	0.158465	0.119171	
164000	-44.422514	414	3.822923	3.667163	2.389586	0.410206	0.874622	0.000963	0.124278	0.000137	
165000	-43.060579	208	2.689971	2.062724	3.843490	5.210444	0.522251	0.359000	0.070373	0.048375	
166000	-42.764699	161	1.337574	0.271826	6.684374	2.847307	0.718829	0.278823	0.001692	0.000656	
167000	-41.200729	147	1.756920	5.915614	3.340409	3.391943	0.368907	0.189319	0.291948	0.149825	
168000	-40.364896	479	0.904636	1.226820	3.384045	1.593153	0.894243	0.071029	0.032172	0.002555	
169000	-42.412246	312	1.693854	4.686549	4.208203	0.051482	0.707657	0.000043	0.292282	0.000018	
170000	-42.845319	233	1.053556	6.350140	2.249685	3.041488	0.369180	0.098206	0.420702	0.111912	
171000	-41.681507	189	1.854420	2.657145	3.279326	0.699444	0.811246	0.012775	0.173251	0.002728	
172000	-39.866191	312	1.091503	0.833169	4.557164	3.282735	0.767681	0.223014	0.007211	0.002095	
173000	-41.432319	225	0.524223	1.250575	2.770210	1.524936	0.863272	0.083400	0.048629	0.004698	
174000	-41.434219	156	1.196372	5.489014	2.377512	2.225044	0.354054	0.098197	0.428816	0.118933	
175000	-40.967352	48	0.959670	0.605660	3.097511	0.387959	0.993480	0.002139	0.004371	0.000009	
176000	-42.174968	249	1.221864	1.545271	1.050401	2.803407	0.396303	0.530774	0.031173	0.041750	
177000	-41.734919	29	1.213179	2.700723	3.773142	5.455274	0.507271	0.339290	0.091943	0.061496	
178000	-46.142514	72	2.440127	0.665727	2.336978	3.389015	0.684850	0.307197	0.005490	0.002463	
179000	-41.667494	310	2.102705	0.935400	3.308921	1.447480	0.882308	0.091620	0.023619	0.002453	
180000	-42.341939	210	0.514904	4.775866	2.940543	2.862174	0.310362	0.095288	0.454736	0.139614	
181000	-41.993708	391	0.467522	5.215768	1.863936	2.095888	0.255996	0.102908	0.457277	0.183820	
182000	-40.081583	229	0.683238	2.965887	2.891256	1.895450	0.753378	0.054124	0.179595	0.012903	
183000	-45.928116	122	1.772790	8.274514	4.025773	1.942295	0.348360	0.089380	0.447456	0.114805	
184000	-42.840993	251	1.314080	5.324923	0.923457	2.635330	0.153974	0.293850	0.189853	0.362323	
185000	-42.198244	481	3.242999	3.374175	3.861235	1.921885	0.752335	0.066638	0.166298	0.014730	
186000	-43.992280	19	1.514334	5.597838	2.047725	1.125471	0.572706	0.012704	0.405593	0.008997	
187000	-49.328081	457	1.528248	0.283437	10.385139	3.809940	0.584891	0.413696	0.000827	0.000585	
188000	-41.139051	137	1.495252	2.931344	3.292122	2.298298	0.630046	0.142299	0.185711	0.041944	
189000	-41.830794	289	1.265568	1.468465	1.853886	3.480628	0.523592	0.404291	0.040695	0.031422	
190000	-41.459138	183	0.893038	5.093185	3.657128	0.205228	0.486332	0.000471	0.512701	0.000496	
191000	-41.106014	479	1.441012	4.056273	3.979513	1.293628	0.669602	0.032521	0.284079	0.013797	
192000	-45.189156	268	0.752239	5.548631	2.432961	5.783207	0.230102	0.211131	0.291396	0.267371	
193000	-41.040955	187	1.808116	5.410386	4.163454	2.369494	0.519939	0.113978	0.300261	0.065822	
194000	-45.114230	389	2.921155	3.212534	5.893553	2.584125	0.572286	0.181637	0.186791	0.059286	
195000	-43.966848	366	0.020758	4.210228	1.445046	2.719835	0.000438	0.000226	0.658904	0.340432	
196000	-40.297951	183	0.537643	4.172561	1.391003	2.308115	0.274707	0.149439	0.372963	0.202891	
