Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_fossilised_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4251987733
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_fossilised_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	FNode	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - uniform 0.00 100.00 
        qGD - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	Fossil Node01 FNode D 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	Node01 P(D)	Node01 P(G)	
83000	-10.713681	285	77.278945	87.449061	0.500000	0.500000	1.000000	0.000000	
84000	-9.261618	174	31.232769	33.079051	0.493872	0.506128	1.000000	0.000000	
85000	-11.258840	247	16.130349	46.001998	0.488833	0.511167	1.000000	0.000000	
86000	-10.691661	72	69.790175	84.080834	0.500000	0.500000	1.000000	0.000000	
87000	-8.892665	495	5.091797	12.093057	0.356286	0.643714	1.000000	0.000000	
88000	-7.579197	287	6.600389	4.165991	0.211358	0.788642	1.000000	0.000000	
89000	-8.928610	475	20.487482	25.965840	0.478095	0.521905	1.000000	0.000000	
90000	-7.951399	437	12.537889	10.251231	0.407473	0.592527	1.000000	0.000000	
91000	-10.942231	37	42.268695	15.797823	0.494718	0.505282	1.000000	0.000000	
92000	-7.643730	233	10.200059	4.966157	0.309017	0.690983	1.000000	0.000000	
93000	-10.036411	58	30.516738	17.834957	0.485943	0.514057	1.000000	0.000000	
94000	-7.947582	229	10.392938	12.519100	0.374461	0.625539	1.000000	0.000000	
95000	-9.781524	136	32.752355	31.143317	0.495165	0.504835	1.000000	0.000000	
96000	-10.275409	217	19.640875	39.801108	0.491294	0.508706	1.000000	0.000000	
97000	-9.102791	477	14.580507	19.402088	0.447377	0.552623	1.000000	0.000000	
98000	-9.197339	444	22.796705	16.515009	0.481571	0.518429	1.000000	0.000000	
99000	-8.340864	458	12.988011	3.396637	0.408895	0.591105	1.000000	0.000000	
100000	-8.861810	493	11.116809	1.384446	0.463601	0.536399	1.000000	0.000000	
101000	-9.781517	473	30.770553	32.101924	0.491979	0.508021	1.000000	0.000000	
102000	-8.964481	192	20.835240	7.502172	0.474114	0.525886	1.000000	0.000000	
103000	-11.127756	373	42.600595	84.840790	0.499993	0.500007	1.000000	0.000000	
104000	-8.053372	255	14.510407	7.626745	0.405877	0.594123	1.000000	0.000000	
105000	-11.703162	72	63.076507	33.744387	0.499970	0.500030	1.000000	0.000000	
106000	-8.224714	332	13.543167	6.787292	0.383422	0.616578	1.000000	0.000000	
107000	-10.341023	428	17.583220	42.439397	0.486698	0.513302	1.000000	0.000000	
108000	-8.052106	446	14.439964	5.701585	0.398443	0.601557	1.000000	0.000000	
109000	-8.915457	402	18.190196	23.481199	0.468382	0.531618	1.000000	0.000000	
110000	-9.330286	42	24.495262	19.403589	0.482528	0.517472	1.000000	0.000000	
111000	-10.933993	135	66.901345	66.570177	0.499995	0.500005	1.000000	0.000000	
112000	-8.578977	212	5.720591	13.243727	0.180935	0.819065	1.000000	0.000000	
113000	-8.364663	33	12.286370	12.746228	0.437673	0.562327	1.000000	0.000000	
114000	-10.337868	133	48.828616	66.835683	0.499860	0.500140	1.000000	0.000000	
115000	-8.375068	455	10.815427	15.571042	0.422929	0.577071	1.000000	0.000000	
116000	-7.880136	339	5.416845	4.654156	0.295058	0.704942	1.000000	0.000000	
117000	-10.049811	452	34.199872	25.807706	0.495572	0.504428	1.000000	0.000000	
118000	-10.929521	223	75.982989	87.072169	0.499995	0.500005	1.000000	0.000000	
119000	-8.224193	285	14.248893	11.612552	0.453261	0.546739	1.000000	0.000000	
120000	-10.648790	334	46.793130	73.625837	0.499763	0.500237	1.000000	0.000000	
121000	-10.696295	94	67.276445	82.179754	0.499978	0.500022	1.000000	0.000000	
122000	-7.318834	447	7.571327	7.782115	0.175851	0.824149	1.000000	0.000000	
123000	-7.523346	124	7.967929	3.465102	0.307073	0.692927	1.000000	0.000000	
124000	-9.433392	221	4.481479	13.999970	0.236386	0.763614	1.000000	0.000000	
125000	-9.621521	175	23.637529	21.805229	0.491900	0.508100	1.000000	0.000000	
126000	-11.026896	306	40.442861	82.985676	0.499521	0.500479	1.000000	0.000000	
127000	-8.190303	432	11.785033	13.043248	0.380396	0.619604	1.000000	0.000000	
128000	-10.055075	75	20.840661	40.639246	0.497836	0.502164	1.000000	0.000000	
129000	-8.653377	81	2.513813	3.997906	0.059659	0.940341	1.000000	0.000000	
130000	-8.918950	348	15.867829	16.910205	0.437937	0.562063	1.000000	0.000000	
131000	-10.073373	269	32.939330	49.962070	0.495626	0.504374	1.000000	0.000000	
132000	-8.719488	289	9.907301	2.792370	0.436436	0.563564	1.000000	0.000000	
133000	-8.819543	451	19.754214	15.074350	0.462775	0.537225	1.000000	0.000000	
134000	-11.087483	75	90.945702	96.605927	0.500000	0.500000	1.000000	0.000000	
135000	-9.671553	333	26.244680	9.079322	0.487721	0.512279	1.000000	0.000000	
136000	-7.735395	346	6.143624	4.775205	0.213948	0.786052	1.000000	0.000000	
137000	-10.950006	477	58.028877	85.259711	0.499986	0.500014	1.000000	0.000000	
138000	-7.435269	333	9.383658	8.252172	0.379901	0.620099	1.000000	0.000000	
139000	-10.955306	353	61.791593	71.578177	0.499909	0.500091	1.000000	0.000000	
140000	-8.486338	283	21.544476	10.273601	0.451697	0.548303	1.000000	0.000000	
141000	-7.290772	493	6.031667	4.680377	0.233533	0.766467	1.000000	0.000000	
142000	-9.191945	24	19.013456	13.259037	0.485664	0.514336	1.000000	0.000000	
143000	-11.109424	277	52.495835	77.098369	0.499941	0.500059	1.000000	0.000000	
144000	-10.497463	280	48.834994	52.833107	0.499466	0.500534	1.000000	0.000000	
145000	-8.224196	319	18.345502	15.895090	0.476732	0.523268	1.000000	0.000000	
146000	-8.426221	388	6.699434	13.192431	0.336373	0.663627	1.000000	0.000000	
147000	-10.343925	191	8.848352	26.950128	0.311262	0.688738	1.000000	0.000000	
148000	-7.794876	359	10.946225	5.938394	0.432228	0.567772	1.000000	0.000000	
149000	-11.048800	300	66.462401	62.698129	0.500000	0.500000	1.000000	0.000000	
150000	-11.290730	100	53.706223	36.277606	0.499517	0.500483	1.000000	0.000000	
151000	-7.843122	96	15.619417	8.752345	0.407360	0.592640	1.000000	0.000000	
152000	-10.572686	146	34.444149	13.269409	0.490315	0.509685	1.000000	0.000000	
153000	-8.852884	285	16.264394	20.789525	0.482140	0.517860	1.000000	0.000000	
154000	-8.140011	263	8.067270	3.705620	0.298459	0.701541	1.000000	0.000000	
155000	-9.756811	132	23.297158	4.890898	0.462397	0.537603	1.000000	0.000000	
156000	-9.651282	429	26.405071	42.456907	0.495457	0.504543	1.000000	0.000000	
157000	-8.776609	58	18.506156	12.459134	0.442087	0.557913	1.000000	0.000000	
158000	-9.184635	443	7.606383	14.777727	0.420569	0.579431	1.000000	0.000000	
159000	-7.538835	240	4.409488	5.264730	0.121783	0.878217	1.000000	0.000000	
160000	-11.501873	335	36.083552	10.793798	0.495425	0.504575	1.000000	0.000000	
161000	-9.977687	194	43.803088	35.877604	0.496890	0.503110	1.000000	0.000000	
162000	-10.861770	379	67.341196	54.997675	0.499960	0.500040	1.000000	0.000000	
163000	-8.530094	231	9.383420	10.342225	0.422723	0.577277	1.000000	0.000000	
164000	-11.128140	428	44.539797	92.599472	0.499954	0.500046	1.000000	0.000000	
165000	-10.917575	423	62.649593	91.368789	0.499995	0.500005	1.000000	0.000000	
166000	-10.216189	141	22.710948	49.916011	0.470682	0.529318	1.000000	0.000000	
167000	-8.904253	420	14.660336	2.939343	0.486613	0.513387	1.000000	0.000000	
168000	-8.719070	452	9.225819	17.138993	0.381362	0.618638	1.000000	0.000000	
169000	-10.979888	282	61.479839	72.246603	0.499999	0.500001	1.000000	0.000000	
170000	-11.408929	303	81.115648	84.673142	0.500000	0.500000	1.000000	0.000000	
171000	-10.947335	344	65.652200	50.711762	0.499831	0.500169	1.000000	0.000000	
172000	-7.585730	174	10.605579	9.823911	0.344692	0.655308	1.000000	0.000000	
173000	-9.806269	398	39.826662	23.513633	0.495798	0.504202	1.000000	0.000000	
174000	-11.321041	358	62.837541	51.259542	0.499965	0.500035	1.000000	0.000000	
175000	-11.442693	377	87.443249	69.804023	0.499998	0.500002	1.000000	0.000000	
176000	-10.949408	306	57.357665	31.132904	0.497935	0.502065	1.000000	0.000000	
177000	-7.722011	66	12.422202	7.529614	0.349108	0.650892	1.000000	0.000000	
178000	-11.189463	259	70.873308	46.398819	0.499915	0.500085	1.000000	0.000000	
179000	-9.114456	278	33.622320	16.662965	0.493180	0.506820	1.000000	0.000000	
180000	-8.272062	172	1.895699	3.877975	0.026639	0.973361	1.000000	0.000000	
181000	-8.475613	392	13.158011	7.192866	0.370859	0.629141	1.000000	0.000000	
182000	-10.402977	468	17.820004	39.527250	0.492112	0.507888	1.000000	0.000000	
183000	-13.406384	82	73.264259	28.954599	0.499966	0.500034	1.000000	0.000000	
184000	-10.598942	480	54.508653	34.026020	0.499699	0.500301	1.000000	0.000000	
185000	-8.612353	432	11.130016	17.587240	0.386978	0.613022	1.000000	0.000000	
186000	-7.846978	115	9.892020	9.304073	0.359577	0.640423	1.000000	0.000000	
187000	-8.906603	371	15.223349	19.536634	0.465591	0.534409	1.000000	0.000000	
188000	-9.766252	21	19.897867	31.664377	0.495146	0.504854	1.000000	0.000000	
189000	-10.517901	442	13.839270	35.606682	0.491354	0.508646	1.000000	0.000000	
190000	-9.992506	49	51.730735	51.302458	0.499263	0.500737	1.000000	0.000000	
191000	-8.847477	96	25.724437	24.231771	0.484918	0.515082	1.000000	0.000000	
192000	-8.288847	132	1.413341	4.520324	0.014684	0.985316	1.000000	0.000000	
193000	-12.097762	9	73.847809	41.210441	0.499976	0.500024	1.000000	0.000000	
194000	-11.260620	166	34.165560	68.858079	0.499556	0.500444	1.000000	0.000000	
195000	-10.369473	359	40.219332	39.026766	0.499098	0.500902	1.000000	0.000000	
196000	-8.240510	131	15.106865	9.911861	0.381981	0.618019	1.000000	0.000000	
197000	-9.157030	139	23.458056	22.587929	0.490980	0.509020	1.000000	0.000000	
198000	-7.979843	136	10.653805	3.996986	0.363530	0.636470	1.000000	0.000000	
199000	-8.124915	223	9.992255	12.605184	0.337505	0.662495	1.000000	0.000000	
200000	-11.357024	194	28.036326	83.139899	0.499084	0.500916	1.000000	0.000000	
201000	-9.321346	127	13.226443	24.762348	0.446352	0.553648	1.000000	0.000000	
202000	-8.390257	382	14.535296	12.073738	0.426252	0.573748	1.000000	0.000000	
203000	-10.629151	442	25.180590	52.407692	0.499521	0.500479	1.000000	0.000000	
204000	-8.817975	287	19.490436	21.027100	0.463331	0.536669	1.000000	0.000000	
205000	-8.072516	296	13.317673	15.529771	0.439683	0.560317	1.000000	0.000000	
206000	-11.170273	348	7.907678	32.850202	0.422559	0.577441	1.000000	0.000000	
207000	-8.304847	401	10.172487	7.965730	0.346855	0.653145	1.000000	0.000000	
208000	-8.526519	17	9.858253	7.465005	0.295456	0.704544	1.000000	0.000000	
209000	-8.731501	396	15.737796	16.294837	0.464179	0.535821	1.000000	0.000000	
210000	-10.413749	420	14.735414	40.150183	0.459991	0.540009	1.000000	0.000000	
211000	-9.565986	386	1.232154	13.194712	0.015225	0.984775	1.000000	0.000000	
212000	-9.852931	417	24.104983	7.279413	0.441830	0.558170	1.000000	0.000000	
213000	-8.245359	427	8.060466	3.214373	0.301041	0.698959	1.000000	0.000000	
214000	-8.620466	388	5.167420	12.970969	0.276883	0.723117	1.000000	0.000000	
215000	-9.838620	27	32.971824	32.679804	0.499395	0.500605	1.000000	0.000000	
216000	-7.924810	317	7.987871	3.895151	0.343415	0.656585	1.000000	0.000000	
217000	-10.671513	381	34.821872	55.560608	0.499766	0.500234	1.000000	0.000000	
218000	-10.383745	353	26.377281	7.920867	0.461289	0.538711	1.000000	0.000000	
219000	-10.496064	268	35.622009	31.333301	0.495279	0.504721	1.000000	0.000000	
220000	-8.790305	1	8.915663	18.831771	0.338341	0.661659	1.000000	0.000000	
221000	-8.491171	321	21.794645	19.305409	0.494191	0.505809	1.000000	0.000000	
222000	-8.468779	353	7.921278	12.818196	0.273099	0.726901	1.000000	0.000000	
223000	-7.323310	114	9.364852	6.712581	0.292409	0.707591	1.000000	0.000000	
224000	-10.665423	203	31.789208	67.743902	0.499524	0.500476	1.000000	0.000000	
225000	-9.492782	126	3.951528	14.157021	0.200141	0.799859	1.000000	0.000000	
226000	-8.454283	451	14.658492	6.099276	0.401613	0.598387	1.000000	0.000000	
227000	-10.531140	49	33.536976	7.742871	0.469875	0.530125	1.000000	0.000000	
228000	-10.716713	373	28.930180	58.458943	0.499714	0.500286	1.000000	0.000000	
229000	-10.620069	467	60.457831	82.397280	0.499860	0.500140	1.000000	0.000000	
230000	-10.464067	292	39.030797	48.413119	0.499335	0.500665	1.000000	0.000000	
231000	-9.080362	164	26.182094	9.940219	0.484962	0.515038	1.000000	0.000000	
232000	-7.925142	394	12.253436	9.763801	0.365418	0.634582	1.000000	0.000000	
233000	-8.321644	341	16.241111	13.850354	0.450353	0.549647	1.000000	0.000000	
234000	-10.344311	285	46.691519	40.599267	0.499927	0.500073	1.000000	0.000000	
235000	-10.303676	411	20.189361	37.621063	0.495616	0.504384	1.000000	0.000000	
236000	-7.480416	373	5.210643	4.710281	0.187792	0.812208	1.000000	0.000000	
237000	-11.210049	59	39.016466	12.397547	0.493720	0.506280	1.000000	0.000000	
238000	-9.227096	106	25.668931	18.779746	0.478564	0.521436	1.000000	0.000000	
239000	-8.544584	222	1.137232	6.721883	0.009048	0.990952	1.000000	0.000000	
240000	-7.790454	64	8.716848	9.203764	0.279998	0.720002	1.000000	0.000000	
241000	-9.412203	455	28.285281	30.723076	0.496345	0.503655	1.000000	0.000000	
242000	-12.112496	238	62.623708	36.309683	0.499883	0.500117	1.000000	0.000000	
