Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3674852225
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
78000	-43.736935	45	0.472938	4.954384	1.704859	5.507667	0.138923	0.191593	0.281399	0.388086	
79000	-40.405781	161	1.200308	2.534025	2.441406	1.723828	0.652021	0.139959	0.171258	0.036761	
80000	-43.658415	424	0.109256	4.558074	4.689556	1.563989	0.035902	0.003373	0.878225	0.082500	
81000	-39.936614	451	0.971964	1.519160	2.472473	1.610104	0.802606	0.137192	0.051414	0.008788	
82000	-44.493482	273	1.713717	0.892709	1.322385	2.254979	0.730480	0.254994	0.010767	0.003759	
83000	-38.701642	43	1.674654	0.887646	1.860010	0.485419	0.979745	0.006031	0.014138	0.000087	
84000	-45.939548	5	1.993470	0.554031	3.478706	1.724590	0.920135	0.074806	0.004678	0.000380	
85000	-42.270640	3	1.574495	2.432362	2.355415	1.040928	0.865868	0.017256	0.114593	0.002284	
86000	-41.452360	282	1.331325	3.929965	5.171832	1.684515	0.685228	0.064196	0.229112	0.021464	
87000	-42.956715	431	2.436842	7.694878	2.251865	3.630193	0.290335	0.222271	0.276055	0.211338	
88000	-43.718525	418	1.465308	7.568419	1.060737	4.045964	0.144898	0.297177	0.182870	0.375055	
89000	-41.279220	357	1.640075	2.872387	3.667958	2.555934	0.554019	0.191653	0.188961	0.065368	
90000	-42.808302	478	2.775537	4.667617	1.980080	3.000410	0.452088	0.216367	0.224230	0.107315	
91000	-39.653934	458	1.459956	5.027848	1.837660	0.801881	0.671912	0.008686	0.315325	0.004077	
92000	-41.092624	314	1.754938	3.068246	2.050017	3.261409	0.353725	0.273750	0.210003	0.162522	
93000	-50.588913	287	3.155475	12.126697	0.643604	3.385738	0.104344	0.383006	0.109761	0.402889	
94000	-38.711047	359	0.849380	2.181759	2.634578	0.706603	0.871048	0.011531	0.115887	0.001534	
95000	-43.508856	405	2.166758	1.132130	2.879848	3.112525	0.665197	0.308022	0.018305	0.008476	
96000	-39.703276	69	0.876182	2.637607	2.987604	2.813754	0.470365	0.217807	0.213134	0.098694	
97000	-44.207175	90	2.362932	2.415951	6.114750	1.272354	0.700506	0.099520	0.175098	0.024876	
98000	-42.057275	340	1.151495	5.844809	4.204753	3.744176	0.360172	0.161532	0.330204	0.148092	
99000	-41.876275	177	0.935627	5.370721	2.290917	1.478028	0.454498	0.056554	0.434840	0.054108	
