Default schedule
Rate	71.43
CV	28.57
Rate Tried	% Accepted	CV Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
567	0.301587	233	0.472103	0.814570	800	0.351250	0.351250	0.237403	
641	0.291732	259	0.478764	0.814570	900	0.345556	0.345556	0.237889	
708	0.295198	292	0.482877	0.814570	1000	0.350000	0.350000	0.239059	
63	0.158730	37	0.432432	0.814570	100	0.260000	0.260000	0.239218	
132	0.219697	68	0.470588	0.814570	200	0.305000	0.305000	0.240058	
205	0.214634	95	0.400000	0.814570	300	0.273333	0.273333	0.239832	
279	0.215054	121	0.404959	0.814570	400	0.272500	0.272500	0.240057	
346	0.213873	154	0.415584	0.814570	500	0.276000	0.276000	0.240427	
419	0.224344	181	0.414365	0.814570	600	0.281667	0.281667	0.240938	
497	0.229376	203	0.413793	0.814570	700	0.282857	0.282857	0.241296	
565	0.226549	235	0.417021	0.814570	800	0.282500	0.282500	0.241577	
636	0.234277	264	0.431818	0.814570	900	0.292222	0.292222	0.242501	
700	0.244286	300	0.436667	0.814570	1000	0.302000	0.302000	0.243554	
69	0.304348	31	0.548387	0.814570	100	0.380000	0.380000	0.244522	
140	0.307143	60	0.516667	0.814570	200	0.370000	0.370000	0.245335	
217	0.354839	83	0.469880	0.814570	300	0.386667	0.386667	0.246556	
291	0.343643	109	0.458716	0.814570	400	0.375000	0.375000	0.247205	
360	0.352778	140	0.457143	0.814570	500	0.382000	0.382000	0.248328	
430	0.334884	170	0.435294	0.814570	600	0.363333	0.363333	0.248476	
498	0.325301	202	0.430693	0.814570	700	0.355714	0.355714	0.248895	
571	0.322242	229	0.419214	0.814570	800	0.350000	0.350000	0.249307	
640	0.314063	260	0.438462	0.814570	900	0.350000	0.350000	0.249983	
714	0.313725	286	0.426573	0.814570	1000	0.346000	0.346000	0.250383	
78	0.269231	22	0.500000	0.814570	100	0.320000	0.320000	0.250844	
153	0.274510	47	0.531915	0.814570	200	0.335000	0.335000	0.251497	
231	0.277056	69	0.565217	0.814570	300	0.343333	0.343333	0.252206	
301	0.265781	99	0.494949	0.814570	400	0.322500	0.322500	0.252256	
369	0.249322	131	0.519084	0.814570	500	0.320000	0.320000	0.252629	
440	0.288636	160	0.512500	0.814570	600	0.348333	0.348333	0.254150	
510	0.294118	190	0.505263	0.814570	700	0.351429	0.351429	0.254888	
580	0.284483	220	0.495455	0.814570	800	0.342500	0.342500	0.255047	
647	0.275116	253	0.482213	0.814570	900	0.333333	0.333333	0.255078	
715	0.288112	285	0.487719	0.814570	1000	0.345000	0.345000	0.256296	
74	0.256757	26	0.423077	0.814570	100	0.300000	0.300000	0.256568	
139	0.223022	61	0.491803	0.814570	200	0.305000	0.305000	0.256898	
200	0.235000	100	0.510000	0.814570	300	0.326667	0.326667	0.257592	
269	0.278810	131	0.473282	0.814570	400	0.342500	0.342500	0.258399	
339	0.283186	161	0.447205	0.814570	500	0.336000	0.336000	0.258712	
414	0.294686	186	0.478495	0.814570	600	0.351667	0.351667	0.259743	
472	0.300847	228	0.486842	0.814570	700	0.361429	0.361429	0.260703	
