Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionOFF_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2760883259
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionOFF_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	
13800	-1934.822489	1	7.219808	17.972714	0.160914	0.839086	
13900	-1934.827528	1	7.944925	17.551070	0.235483	0.764517	
14000	-1935.412053	1	8.307384	19.783800	0.210261	0.789739	
14100	-1936.070135	1	8.498481	17.161911	0.322887	0.677113	
14200	-1934.537310	1	7.925299	19.054457	0.194015	0.805985	
14300	-1934.980794	1	7.717641	17.170153	0.224517	0.775483	
14400	-1934.681078	1	7.247804	19.003596	0.147728	0.852272	
14500	-1935.629930	1	7.365970	16.696373	0.204102	0.795898	
14600	-1937.626988	1	7.198011	22.056988	0.122820	0.877180	
14700	-1934.401982	1	7.513792	18.463722	0.173612	0.826388	
14800	-1934.390535	1	7.776380	18.723881	0.188748	0.811252	
14900	-1934.885127	1	8.057250	19.595295	0.194283	0.805717	
15000	-1939.896818	1	5.964846	19.124953	0.081593	0.918407	
15100	-1934.751143	1	7.845406	17.550222	0.225011	0.774989	
15200	-1935.467563	1	6.869981	18.729345	0.128594	0.871406	
15300	-1934.647659	1	7.696004	17.631783	0.207737	0.792263	
15400	-1934.549367	1	7.970886	18.877855	0.201265	0.798735	
15500	-1936.210288	1	6.791533	17.398770	0.141030	0.858970	
15600	-1936.630790	1	6.677066	20.127418	0.107836	0.892164	
15700	-1935.007082	1	8.254892	19.063535	0.221421	0.778579	
15800	-1936.619257	1	8.495478	16.578428	0.359245	0.640755	
15900	-1936.494200	1	8.075792	21.320255	0.173204	0.826796	
16000	-1935.307200	1	7.689538	20.530293	0.157776	0.842224	
16100	-1936.728499	1	8.806171	17.533608	0.345130	0.654870	
16200	-1935.474691	1	6.915604	17.998753	0.140108	0.859892	
16300	-1937.597106	1	8.271848	15.579215	0.399079	0.600921	
16400	-1935.125959	1	7.588498	17.019371	0.216122	0.783878	
16500	-1934.784283	1	7.166881	18.830752	0.144867	0.855133	
16600	-1936.114914	1	7.099778	16.655276	0.180107	0.819893	
16700	-1934.582567	1	7.987889	18.969301	0.200736	0.799264	
16800	-1935.371153	1	7.185986	20.193570	0.132661	0.867339	
16900	-1935.018610	1	8.188679	19.455743	0.207146	0.792854	
17000	-1935.341627	1	8.389271	17.989921	0.268880	0.731120	
17100	-1934.678156	1	7.317843	19.318425	0.148297	0.851703	
17200	-1935.315007	1	7.440902	16.912909	0.204616	0.795384	
17300	-1936.496050	1	6.718306	17.364290	0.136783	0.863217	
17400	-1934.902566	1	8.086070	17.709096	0.245207	0.754793	
17500	-1934.926484	1	7.552680	17.258159	0.204934	0.795066	
17600	-1934.617109	1	7.269308	18.635018	0.153910	0.846090	
17700	-1935.043881	1	8.130524	17.568509	0.255599	0.744401	
17800	-1935.708209	1	7.288279	16.713417	0.195894	0.804106	
17900	-1935.613761	1	7.081051	17.157365	0.166375	0.833625	
18000	-1934.898538	1	7.556067	20.035430	0.154806	0.845194	
18100	-1935.618882	1	7.499266	16.608452	0.221280	0.778720	
18200	-1935.393116	1	8.151084	20.168760	0.191911	0.808089	
18300	-1936.610480	1	6.561756	18.348985	0.115526	0.884474	
18400	-1934.855878	1	7.180555	19.272390	0.140668	0.859332	
18500	-1935.024999	1	8.223182	19.319710	0.212816	0.787184	
18600	-1935.079573	1	8.236271	19.398614	0.212227	0.787773	
18700	-1934.868799	1	7.229935	17.830635	0.164201	0.835799	
18800	-1934.816295	1	8.121989	18.043871	0.237464	0.762536	
18900	-1935.719039	1	8.008023	16.617759	0.284197	0.715803	
19000	-1935.898439	1	8.636088	18.432028	0.280003	0.719997	
19100	-1934.668616	1	7.522041	17.649798	0.191464	0.808536	
19200	-1934.752588	1	7.386993	19.643457	0.148863	0.851137	
19300	-1934.499266	1	7.426847	18.216522	0.171650	0.828350	
19400	-1936.425235	1	7.727012	21.473689	0.152151	0.847849	
19500	-1935.357031	1	7.153831	17.282247	0.169409	0.830591	
19600	-1936.738478	1	6.543996	19.351684	0.106383	0.893617	
19700	-1936.258487	1	6.903767	16.962770	0.156826	0.843174	
19800	-1934.485731	1	7.844942	18.155845	0.207314	0.792686	
19900	-1935.804942	1	8.606547	18.676300	0.267608	0.732392	
20000	-1936.137155	1	7.010345	16.810519	0.168549	0.831451	
20100	-1934.381070	1	7.690680	18.381822	0.188871	0.811129	
20200	-1934.766542	1	7.916228	17.610960	0.230362	0.769638	
20300	-1934.598697	1	7.735547	17.735681	0.208531	0.791469	
20400	-1934.628602	1	7.797229	17.720812	0.214861	0.785139	
20500	-1935.771464	1	7.548377	20.954630	0.146260	0.853740	
20600	-1934.767918	1	7.716072	19.853625	0.166766	0.833234	
20700	-1934.934291	1	7.096523	18.366194	0.146498	0.853502	
20800	-1935.156164	1	7.309989	20.138570	0.139772	0.860228	
20900	-1934.741592	1	7.650231	17.478262	0.207810	0.792190	
21000	-1934.581488	1	7.930324	19.201035	0.191652	0.808348	
21100	-1934.930457	1	7.744052	20.076506	0.165872	0.834128	
21200	-1935.661235	1	8.461534	19.597502	0.227055	0.772945	
21300	-1935.067787	1	7.184131	19.748978	0.136242	0.863758	
21400	-1934.683557	1	8.028131	19.189921	0.199516	0.800484	
21500	-1936.330264	1	8.418975	16.678738	0.340650	0.659350	
21600	-1934.575734	1	7.512473	17.838685	0.186155	0.813845	
21700	-1934.425692	1	7.742238	19.057343	0.180091	0.819909	
21800	-1934.387574	1	7.746720	18.825159	0.184525	0.815475	
21900	-1935.823329	1	7.134131	16.841582	0.178205	0.821795	
22000	-1934.627677	1	7.846002	17.775819	0.217983	0.782017	
22100	-1934.994022	1	7.782383	20.140555	0.167543	0.832457	
22200	-1935.241888	1	8.362384	19.112351	0.229935	0.770065	
22300	-1936.619120	1	6.684091	17.371237	0.134485	0.865515	
22400	-1935.072994	1	7.583662	20.266698	0.154113	0.845887	
22500	-1936.509773	1	7.664878	21.540743	0.148388	0.851612	
22600	-1935.494980	1	8.493876	18.546095	0.259946	0.740054	
22700	-1934.984911	1	7.914574	20.012552	0.177762	0.822238	
22800	-1934.660215	1	7.652745	17.606941	0.204371	0.795629	
22900	-1934.995178	1	8.222525	18.005539	0.249486	0.750514	
23000	-1935.556337	1	8.119875	16.896479	0.284789	0.715211	
23100	-1937.823318	1	6.324868	18.118878	0.105323	0.894677	
23200	-1935.194420	1	8.362369	18.355956	0.252368	0.747632	
23300	-1936.177428	1	8.725017	18.393392	0.291993	0.708007	
23400	-1940.370791	1	7.103596	14.535919	0.277384	0.722616	
23500	-1938.694689	1	6.153475	19.225273	0.089182	0.910818	
23600	-1935.266159	1	8.062773	20.170628	0.185689	0.814311	
23700	-1934.635655	1	7.595395	19.633374	0.161770	0.838230	
23800	-1934.992100	1	7.552891	17.179755	0.207334	0.792666	
23900	-1935.060771	1	7.026268	18.626584	0.138813	0.861187	
24000	-1934.365798	1	7.642352	18.505555	0.182555	0.817445	
24100	-1934.941676	1	7.969908	17.412607	0.243308	0.756692	
24200	-1935.246367	1	6.965026	18.314212	0.138967	0.861033	
24300	-1934.966438	1	7.386895	17.353198	0.187119	0.812881	
24400	-1934.806625	1	7.757269	19.894398	0.168916	0.831084	
24500	-1934.622348	1	7.456071	17.812678	0.182091	0.817909	
24600	-1935.058186	1	7.905494	17.184059	0.244861	0.755139	
24700	-1934.672794	1	8.051522	19.035600	0.204577	0.795423	
24800	-1934.882178	1	7.827161	19.956962	0.172682	0.827318	
24900	-1934.990036	1	7.616561	17.160550	0.214312	0.785688	
25000	-1936.084752	1	8.640292	19.451828	0.246994	0.753006	
25100	-1934.536818	1	7.495775	17.950672	0.182303	0.817697	
25200	-1936.832961	1	8.355338	21.206496	0.191992	0.808008	
25300	-1935.075798	1	7.885514	17.145563	0.244088	0.755912	
25400	-1936.100070	1	8.225239	20.794541	0.188410	0.811590	
25500	-1936.716144	1	7.762174	15.823858	0.294911	0.705089	
25600	-1935.739754	1	7.498273	16.513636	0.224829	0.775171	
25700	-1936.074834	1	6.689496	18.506140	0.120871	0.879129	
25800	-1935.351669	1	8.414049	18.153426	0.265359	0.734641	
25900	-1934.461442	1	7.874770	18.382507	0.204321	0.795679	
26000	-1934.696425	1	7.532306	19.711469	0.156896	0.843104	
26100	-1934.557529	1	7.316532	18.696330	0.156140	0.843860	
26200	-1935.787584	1	6.835506	19.593668	0.119067	0.880933	
26300	-1934.374749	1	7.713191	18.786468	0.182690	0.817310	
26400	-1934.620251	1	7.634204	17.678814	0.200703	0.799297	
26500	-1934.397650	1	7.579959	18.951680	0.170207	0.829793	
26600	-1937.126967	1	6.779037	16.572967	0.155560	0.844440	
26700	-1935.009359	1	7.836542	17.187221	0.236890	0.763110	
26800	-1934.859286	1	7.404902	17.477149	0.185600	0.814400	
26900	-1934.789420	1	7.184499	19.055147	0.143283	0.856717	
27000	-1935.499055	1	6.992879	19.833945	0.125318	0.874682	
27100	-1938.618734	1	7.261005	22.676094	0.123526	0.876474	
27200	-1934.460903	1	7.460071	19.004517	0.161265	0.838735	
27300	-1935.316263	1	7.214224	17.204453	0.176065	0.823935	
27400	-1937.589112	1	9.022390	19.796641	0.274556	0.725444	
27500	-1935.435011	1	6.931175	17.990688	0.141206	0.858794	
27600	-1934.894069	1	7.216905	19.514369	0.140289	0.859711	
27700	-1934.818106	1	7.830220	19.858022	0.174184	0.825816	
27800	-1935.496339	1	7.659915	16.661729	0.237501	0.762499	
27900	-1934.598063	1	7.848944	19.423038	0.181828	0.818172	
28000	-1934.902847	1	7.296393	17.595606	0.173958	0.826042	
28100	-1935.189385	1	7.420705	17.056310	0.198282	0.801718	
28200	-1936.375814	1	7.933337	21.350197	0.164574	0.835426	
28300	-1936.534519	1	8.614944	20.288721	0.225296	0.774704	
28400	-1934.784036	1	7.208642	19.187490	0.143233	0.856767	
28500	-1936.217172	1	8.579135	20.005116	0.228145	0.771855	
28600	-1934.477328	1	7.911254	18.722613	0.199662	0.800338	
28700	-1934.618271	1	7.585291	17.698029	0.195806	0.804194	
28800	-1934.724760	1	8.025727	17.932619	0.231137	0.768863	
28900	-1935.369249	1	8.344252	17.687481	0.276107	0.723893	
29000	-1937.650234	1	6.673247	16.481234	0.149490	0.850510	
29100	-1934.923055	1	8.233259	18.426994	0.236712	0.763288	
29200	-1935.853661	1	6.910306	20.056666	0.119523	0.880477	
29300	-1934.638024	1	7.432497	17.817097	0.180081	0.819919	
29400	-1934.970112	1	8.168344	19.422496	0.206165	0.793835	
29500	-1935.534671	1	7.249359	20.490034	0.133785	0.866215	
29600	-1934.811612	1	7.542115	17.413996	0.199452	0.800548	
29700	-1936.264391	1	8.144160	21.058457	0.180056	0.819944	
29800	-1937.783966	1	6.552513	20.884491	0.098601	0.901399	
29900	-1935.285024	1	7.854756	16.900239	0.250656	0.749344	
30000	-1934.651097	1	7.481312	19.581140	0.155255	0.844745	
30100	-1934.482156	1	7.913280	18.768761	0.198839	0.801161	
30200	-1934.627127	1	7.998568	19.114184	0.198653	0.801347	
30300	-1935.736261	1	7.555418	20.926015	0.146855	0.853145	
30400	-1934.934265	1	7.277904	17.585222	0.172717	0.827283	
30500	-1935.122222	1	8.020243	20.051753	0.184431	0.815569	
30600	-1934.412499	1	7.478970	18.610943	0.168559	0.831441	
30700	-1937.254101	1	8.875736	20.127574	0.251424	0.748576	
30800	-1935.734541	1	8.525771	19.390201	0.237870	0.762130	
30900	-1934.512079	1	7.930851	18.353278	0.210014	0.789986	
31000	-1934.708435	1	7.397856	19.576333	0.150235	0.849765	
31100	-1934.374965	1	7.609223	18.436338	0.181334	0.818666	
31200	-1934.675843	1	7.406531	19.524299	0.151335	0.848665	
31300	-1934.508541	1	7.363679	18.533510	0.161741	0.838259	
31400	-1937.507741	1	7.596417	15.417561	0.295732	0.704268	
31500	-1936.447495	1	6.598651	18.389487	0.117107	0.882893	
31600	-1934.576011	1	7.544407	17.807281	0.189572	0.810428	
31700	-1935.506128	1	7.503703	20.697087	0.145809	0.854191	
31800	-1935.494618	1	8.356119	17.508080	0.285689	0.714311	
31900	-1935.766591	1	8.308461	20.277077	0.201651	0.798349	
32000	-1935.033472	1	8.251578	18.053569	0.250947	0.749053	
32100	-1935.047516	1	7.352689	20.056283	0.142855	0.857145	
32200	-1935.123922	1	8.316458	19.034321	0.227716	0.772284	
32300	-1936.750125	1	8.053124	15.908858	0.335394	0.664606	
32400	-1934.531908	1	7.954806	18.375060	0.211620	0.788380	
32500	-1935.580396	1	7.195800	20.454864	0.131255	0.868745	
32600	-1936.130158	1	6.853624	20.216218	0.115713	0.884287	
32700	-1935.287631	1	8.360083	19.280518	0.225552	0.774448	
32800	-1934.733324	1	7.395676	19.621467	0.149615	0.850385	
32900	-1935.866565	1	8.030782	20.847172	0.175223	0.824777	
33000	-1935.165226	1	8.339363	18.232687	0.254162	0.745838	
33100	-1934.925154	1	7.345857	19.868901	0.144202	0.855798	
33200	-1936.051004	1	8.422810	20.315466	0.209607	0.790393	
33300	-1935.132276	1	8.340788	18.509451	0.245057	0.754943	
33400	-1936.026625	1	6.824098	19.953600	0.115950	0.884050	
33500	-1935.351178	1	8.295131	19.722025	0.210476	0.789524	
33600	-1940.175448	1	6.365407	15.846565	0.140068	0.859932	
33700	-1935.792797	1	8.348739	20.205184	0.205855	0.794145	
33800	-1934.616535	1	7.845665	17.798807	0.217264	0.782736	
33900	-1936.335826	1	7.562068	16.074980	0.252156	0.747844	
34000	-1934.841746	1	7.940949	17.522126	0.236080	0.763920	
34100	-1935.443928	1	6.930230	17.975184	0.141365	0.858635	
34200	-1934.589756	1	7.305816	18.383053	0.160126	0.839874	
34300	-1935.200270	1	8.228029	19.683068	0.205874	0.794126	
34400	-1934.562575	1	7.984550	18.867012	0.202630	0.797370	
34500	-1934.594268	1	7.333433	19.101832	0.151830	0.848170	
34600	-1935.385252	1	7.544335	16.785775	0.219635	0.780365	
34700	-1934.629825	1	7.262607	18.765762	0.151684	0.848316	
34800	-1934.380672	1	7.610705	18.388290	0.182390	0.817610	
34900	-1934.802005	1	7.154382	18.776066	0.144772	0.855228	
35000	-1935.345453	1	8.376187	17.897440	0.271082	0.728918	
35100	-1934.671962	1	8.079889	18.455861	0.221011	0.778989	
35200	-1935.559486	1	8.138509	16.920801	0.286047	0.713953	
35300	-1934.445541	1	7.859202	18.828717	0.193221	0.806779	
35400	-1934.870998	1	8.021739	17.614895	0.241556	0.758444	
35500	-1935.418946	1	8.371489	17.706835	0.278598	0.721402	
35600	-1935.642447	1	8.407111	17.453182	0.294915	0.705085	
35700	-1934.721323	1	7.478061	19.709021	0.153611	0.846389	
35800	-1935.541289	1	6.863152	19.137962	0.124267	0.875733	
35900	-1934.930020	1	7.112916	19.107303	0.138491	0.861509	
36000	-1936.816722	1	7.755945	21.739710	0.151910	0.848090	
36100	-1934.712306	1	7.324568	19.425533	0.147503	0.852497	
36200	-1937.052990	1	8.921778	17.695567	0.352043	0.647957	
36300	-1935.187658	1	7.063447	19.548962	0.131414	0.868586	
36400	-1934.550479	1	7.359281	18.264790	0.165845	0.834155	
36500	-1935.284714	1	7.691521	20.506559	0.158120	0.841880	
36600	-1934.975306	1	7.709137	20.146960	0.162896	0.837104	
36700	-1935.775597	1	8.355701	20.164070	0.207091	0.792909	
36800	-1935.797975	1	7.186475	20.663826	0.129367	0.870633	
36900	-1934.368625	1	7.697675	18.743418	0.182305	0.817695	
37000	-1935.371778	1	6.954811	19.392311	0.126927	0.873073	
37100	-1935.258666	1	7.992289	20.266564	0.179613	0.820387	
37200	-1934.788542	1	7.770736	17.437205	0.221033	0.778967	
37300	-1935.044197	1	7.037202	18.852213	0.136860	0.863140	
37400	-1935.076516	1	8.147551	17.557428	0.258026	0.741974	
37500	-1934.771676	1	8.151204	18.641311	0.222695	0.777305	
37600	-1934.658415	1	7.308158	18.081976	0.165355	0.834645	
37700	-1935.574114	1	7.656783	20.793243	0.153526	0.846474	
37800	-1934.965258	1	8.260664	18.622877	0.233616	0.766384	
37900	-1934.798949	1	7.231582	17.985963	0.161525	0.838475	
38000	-1935.002380	1	8.133219	19.611857	0.199785	0.800215	
38100	-1934.362841	1	7.678921	18.603243	0.183500	0.816500	
38200	-1934.634055	1	7.401003	17.884434	0.176152	0.823848	
38300	-1935.066879	1	7.259036	17.429021	0.174598	0.825402	
38400	-1934.775638	1	7.931090	17.617595	0.231702	0.768298	
