Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
900	0.244444	0.485915	900	0.244444	0.244444	0.170727	
1000	0.246000	0.485915	1000	0.246000	0.246000	0.171070	
100	0.300000	0.485915	100	0.300000	0.300000	0.171564	
200	0.285000	0.485915	200	0.285000	0.285000	0.171940	
300	0.273333	0.485915	300	0.273333	0.273333	0.172237	
400	0.260000	0.485915	400	0.260000	0.260000	0.172418	
500	0.240000	0.485915	500	0.240000	0.240000	0.172371	
600	0.238333	0.485915	600	0.238333	0.238333	0.172587	
700	0.248571	0.485915	700	0.248571	0.248571	0.173102	
800	0.262500	0.485915	800	0.262500	0.262500	0.173799	
900	0.263333	0.485915	900	0.263333	0.263333	0.174157	
1000	0.259000	0.485915	1000	0.259000	0.259000	0.174327	
100	0.240000	0.485915	100	0.240000	0.240000	0.174569	
200	0.250000	0.485915	200	0.250000	0.250000	0.174883	
300	0.253333	0.485915	300	0.253333	0.253333	0.175195	
400	0.227500	0.485915	400	0.227500	0.227500	0.175103	
500	0.222000	0.485915	500	0.222000	0.222000	0.175194	
600	0.231667	0.485915	600	0.231667	0.231667	0.175573	
700	0.228571	0.485915	700	0.228571	0.228571	0.175698	
800	0.231250	0.485915	800	0.231250	0.231250	0.175965	
900	0.226667	0.485915	900	0.226667	0.226667	0.176015	
1000	0.219000	0.485915	1000	0.219000	0.219000	0.175922	
100	0.190000	0.485915	100	0.190000	0.190000	0.175972	
200	0.205000	0.485915	200	0.205000	0.205000	0.176129	
300	0.200000	0.485915	300	0.200000	0.200000	0.176178	
400	0.215000	0.485915	400	0.215000	0.215000	0.176473	
500	0.228000	0.485915	500	0.228000	0.228000	0.176836	
600	0.236667	0.485915	600	0.236667	0.236667	0.177197	
700	0.244286	0.485915	700	0.244286	0.244286	0.177590	
800	0.235000	0.485915	800	0.235000	0.235000	0.177563	
900	0.243333	0.485915	900	0.243333	0.243333	0.178022	
1000	0.246000	0.485915	1000	0.246000	0.246000	0.178339	
100	0.100000	0.485915	100	0.100000	0.100000	0.178069	
200	0.160000	0.485915	200	0.160000	0.160000	0.178213	
300	0.216667	0.485915	300	0.216667	0.216667	0.178731	
400	0.220000	0.485915	400	0.220000	0.220000	0.178905	
500	0.230000	0.485915	500	0.230000	0.230000	0.179214	
600	0.223333	0.485915	600	0.223333	0.223333	0.179251	
700	0.225714	0.485915	700	0.225714	0.225714	0.179455	
800	0.230000	0.485915	800	0.230000	0.230000	0.179726	
900	0.238889	0.485915	900	0.238889	0.238889	0.180161	
1000	0.241000	0.485915	1000	0.241000	0.241000	0.180427	
100	0.250000	0.485915	100	0.250000	0.250000	0.180658	
200	0.285000	0.485915	200	0.285000	0.285000	0.181120	
300	0.286667	0.485915	300	0.286667	0.286667	0.181479	
400	0.262500	0.485915	400	0.262500	0.262500	0.181507	
500	0.266000	0.485915	500	0.266000	0.266000	0.181830	
600	0.256667	0.485915	600	0.256667	0.256667	0.181922	
700	0.252857	0.485915	700	0.252857	0.252857	0.182079	
800	0.250000	0.485915	800	0.250000	0.250000	0.182234	
900	0.251111	0.485915	900	0.251111	0.251111	0.182486	
1000	0.248000	0.485915	1000	0.248000	0.248000	0.182607	
100	0.270000	0.485915	100	0.270000	0.270000	0.182888	
200	0.235000	0.485915	200	0.235000	0.235000	0.182943	
300	0.233333	0.485915	300	0.233333	0.233333	0.183093	
400	0.237500	0.485915	400	0.237500	0.237500	0.183306	
500	0.236000	0.485915	500	0.236000	0.236000	0.183454	
600	0.231667	0.485915	600	0.231667	0.231667	0.183538	
700	0.225714	0.485915	700	0.225714	0.225714	0.183559	
800	0.231250	0.485915	800	0.231250	0.231250	0.183831	
900	0.244444	0.485915	900	0.244444	0.244444	0.184352	
1000	0.242000	0.485915	1000	0.242000	0.242000	0.184463	
100	0.220000	0.485915	100	0.220000	0.220000	0.184574	
200	0.240000	0.485915	200	0.240000	0.240000	0.184808	
300	0.283333	0.485915	300	0.283333	0.283333	0.185381	
400	0.265000	0.485915	400	0.265000	0.265000	0.185457	
500	0.256000	0.485915	500	0.256000	0.256000	0.185564	
600	0.246667	0.485915	600	0.246667	0.246667	0.185608	
700	0.245714	0.485915	700	0.245714	0.245714	0.185774	
800	0.238750	0.485915	800	0.238750	0.238750	0.185787	
900	0.234444	0.485915	900	0.234444	0.234444	0.185830	
1000	0.242000	0.485915	1000	0.242000	0.242000	0.186206	
100	0.280000	0.485915	100	0.280000	0.280000	0.186490	
200	0.230000	0.485915	200	0.230000	0.230000	0.186470	
300	0.220000	0.485915	300	0.220000	0.220000	0.186511	
400	0.240000	0.485915	400	0.240000	0.240000	0.186851	
500	0.242000	0.485915	500	0.242000	0.242000	0.187039	
600	0.235000	0.485915	600	0.235000	0.235000	0.187078	
700	0.231429	0.485915	700	0.231429	0.231429	0.187146	
800	0.240000	0.485915	800	0.240000	0.240000	0.187480	
900	0.237778	0.485915	900	0.237778	0.237778	0.187576	
1000	0.245000	0.485915	1000	0.245000	0.245000	0.187936	
100	0.300000	0.485915	100	0.300000	0.300000	0.188264	
200	0.295000	0.485915	200	0.295000	0.295000	0.188562	
300	0.273333	0.485915	300	0.273333	0.273333	0.188683	
400	0.260000	0.485915	400	0.260000	0.260000	0.188774	
500	0.260000	0.485915	500	0.260000	0.260000	0.188980	
600	0.241667	0.485915	600	0.241667	0.241667	0.188867	
700	0.252857	0.485915	700	0.252857	0.252857	0.189245	
800	0.261250	0.485915	800	0.261250	0.261250	0.189621	
900	0.268889	0.485915	900	0.268889	0.268889	0.190023	
1000	0.262000	0.485915	1000	0.262000	0.262000	0.190052	
100	0.210000	0.485915	100	0.210000	0.210000	0.190109	
200	0.250000	0.485915	200	0.250000	0.250000	0.190392	
300	0.243333	0.485915	300	0.243333	0.243333	0.190505	
400	0.252500	0.485915	400	0.252500	0.252500	0.190757	
500	0.252000	0.485915	500	0.252000	0.252000	0.190924	
600	0.250000	0.485915	600	0.250000	0.250000	0.191062	
700	0.248571	0.485915	700	0.248571	0.248571	0.191199	
800	0.256250	0.485915	800	0.256250	0.256250	0.191531	
900	0.256667	0.485915	900	0.256667	0.256667	0.191722	
1000	0.260000	0.485915	1000	0.260000	0.260000	0.191995	
100	0.230000	0.485915	100	0.230000	0.230000	0.192100	
