Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1977399206
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	
5395000	-7.748497	336	3.026477	5.294463	0.087111	0.912889	
5396000	-10.446354	391	11.338349	29.850970	0.492560	0.507440	
5397000	-8.429208	182	7.233981	13.261677	0.400830	0.599170	
5398000	-7.490992	96	10.846762	8.668692	0.338123	0.661877	
5399000	-8.147721	463	9.300334	5.789364	0.364556	0.635444	
5400000	-9.302437	422	20.008598	14.625959	0.473412	0.526588	
5401000	-8.219900	118	14.152550	7.650794	0.428948	0.571052	
5402000	-10.363386	218	0.090003	4.958057	0.000048	0.999952	
5403000	-8.572483	359	3.294853	9.883193	0.154478	0.845522	
5404000	-8.711887	364	9.178389	1.856913	0.394270	0.605730	
5405000	-8.202997	435	3.507222	6.656749	0.129841	0.870159	
5406000	-8.502947	474	1.969032	4.981659	0.034141	0.965859	
5407000	-7.983360	86	1.384169	2.511902	0.015280	0.984720	
5408000	-8.851602	480	20.053904	28.397944	0.486856	0.513144	
5409000	-7.936939	9	12.022866	9.421043	0.392074	0.607926	
5410000	-8.858830	149	13.042797	4.283976	0.316341	0.683659	
5411000	-10.506213	33	31.520360	11.566940	0.494565	0.505435	
5412000	-8.105854	237	10.917156	8.506608	0.307828	0.692172	
5413000	-8.793090	208	1.530452	5.943154	0.039717	0.960283	
5414000	-8.533982	319	4.332046	11.045009	0.219487	0.780513	
5415000	-8.277489	440	4.499338	6.601359	0.175424	0.824576	
5416000	-7.798772	187	7.498252	10.276646	0.226716	0.773284	
5417000	-8.560013	28	5.105681	11.824830	0.173878	0.826122	
5418000	-8.658369	421	0.843253	5.531695	0.009436	0.990564	
5419000	-7.506978	93	6.536168	9.005146	0.232963	0.767037	
5420000	-8.353928	83	5.065255	7.022329	0.278741	0.721259	
5421000	-8.569581	453	13.299118	3.077726	0.415139	0.584861	
5422000	-7.769962	293	10.997367	5.687377	0.406728	0.593272	
5423000	-9.436485	387	11.627824	23.777125	0.398399	0.601601	
5424000	-8.394935	100	6.953484	2.024658	0.398912	0.601088	
5425000	-8.599482	310	0.711427	2.746157	0.003202	0.996798	
5426000	-8.647479	452	6.775958	1.926513	0.360109	0.639891	
5427000	-8.697742	253	5.284714	12.311746	0.183666	0.816334	
5428000	-7.839351	258	8.371491	11.116170	0.311312	0.688688	
5429000	-7.547264	56	6.470467	3.936633	0.206361	0.793639	
5430000	-8.788238	28	13.776049	5.060584	0.383353	0.616647	
5431000	-8.120421	364	6.327837	9.209632	0.189566	0.810434	
5432000	-7.802172	229	2.080549	2.993163	0.034835	0.965165	
5433000	-8.651232	26	21.176729	18.031508	0.479909	0.520091	
5434000	-8.333928	242	2.333350	1.876234	0.038895	0.961105	
5435000	-9.405908	486	14.516752	2.116091	0.476075	0.523925	
5436000	-8.132552	217	8.007740	2.954555	0.304595	0.695405	
5437000	-7.660116	349	5.638913	9.930175	0.177049	0.822951	
5438000	-7.556442	428	2.436995	8.722912	0.044518	0.955482	
5439000	-7.567222	336	8.787160	6.507374	0.335916	0.664084	
5440000	-7.938055	208	10.460875	10.743951	0.422445	0.577555	
5441000	-7.696952	173	5.230214	4.496451	0.173025	0.826975	
5442000	-8.885565	179	10.813552	14.336385	0.383518	0.616482	
5443000	-8.000615	359	9.271875	11.977561	0.384908	0.615092	
5444000	-8.139773	262	14.996285	13.399068	0.454490	0.545510	
5445000	-7.848069	197	3.875202	3.879453	0.135454	0.864546	
5446000	-8.350991	271	1.136960	7.652580	0.013402	0.986598	
5447000	-7.392517	412	6.151301	4.904839	0.216299	0.783701	
5448000	-7.790380	272	7.764341	4.472371	0.320982	0.679018	
5449000	-9.057322	482	2.741538	1.020542	0.114359	0.885641	
5450000	-7.114631	400	10.103606	6.680428	0.220704	0.779296	
5451000	-9.255242	402	19.279768	3.943879	0.452217	0.547783	
5452000	-8.404363	294	2.816176	8.694233	0.125620	0.874380	
5453000	-7.890979	415	8.621805	8.759690	0.334245	0.665755	
5454000	-9.324440	370	0.651818	3.570609	0.004534	0.995466	
5455000	-8.917482	108	16.352831	10.051768	0.468230	0.531770	
5456000	-7.675285	482	2.550331	4.154553	0.053932	0.946068	
5457000	-8.158320	445	5.571833	3.967127	0.220731	0.779269	
5458000	-8.668683	442	2.799546	2.420604	0.086018	0.913982	
5459000	-8.463093	477	12.578725	9.166889	0.402259	0.597741	
5460000	-10.128312	123	3.344816	18.131569	0.103869	0.896131	
5461000	-8.136543	421	2.323048	7.513215	0.068206	0.931794	
5462000	-8.321591	140	6.261015	12.840927	0.272150	0.727850	
5463000	-7.743871	390	3.662113	6.328155	0.150980	0.849020	
5464000	-7.644018	200	5.201761	6.164834	0.161308	0.838692	
5465000	-8.798972	414	7.842788	3.318625	0.320663	0.679337	
5466000	-7.766559	167	3.617179	3.338077	0.091848	0.908152	
5467000	-9.065144	174	3.392528	1.405281	0.157405	0.842595	
5468000	-8.741636	52	2.567495	9.774245	0.090905	0.909095	
5469000	-9.558673	298	1.489942	1.568949	0.025058	0.974942	
5470000	-8.443614	342	1.834693	8.369517	0.051103	0.948897	
5471000	-8.207743	266	5.171885	7.761412	0.253435	0.746565	
5472000	-8.165844	348	9.187669	15.529350	0.339630	0.660370	
5473000	-8.384601	224	1.392818	3.559941	0.008974	0.991026	
5474000	-8.164993	117	15.269910	7.812693	0.451135	0.548865	
5475000	-8.493073	419	1.556308	2.787559	0.027424	0.972576	
5476000	-8.477824	278	16.733640	26.270699	0.477286	0.522714	
5477000	-9.097317	67	0.689178	3.673957	0.003745	0.996255	
5478000	-7.959820	404	4.679432	7.196428	0.190680	0.809320	
5479000	-8.278024	273	4.240049	8.214190	0.172320	0.827680	
5480000	-11.378793	349	22.370177	2.105485	0.495359	0.504641	
5481000	-8.827627	108	1.387073	2.402516	0.027465	0.972535	
5482000	-8.437257	347	14.166488	8.983255	0.432801	0.567199	
5483000	-7.729652	295	4.613693	11.035688	0.119171	0.880829	
5484000	-7.923349	129	10.831551	14.425176	0.363447	0.636553	
5485000	-8.282724	192	16.771902	8.244058	0.458004	0.541996	
5486000	-9.214108	226	3.167653	11.119764	0.162458	0.837542	
5487000	-7.850907	302	2.524411	4.725091	0.037694	0.962306	
5488000	-7.946205	378	11.917380	2.523563	0.468403	0.531597	
5489000	-7.787602	373	11.197924	4.619983	0.369315	0.630685	
5490000	-8.778688	60	17.683106	21.082541	0.487971	0.512029	
5491000	-7.804421	233	5.226413	9.242324	0.140889	0.859111	
5492000	-8.013501	334	9.512215	5.025894	0.300757	0.699243	
5493000	-8.707719	137	2.452139	9.207863	0.071206	0.928794	
5494000	-9.125382	435	9.046015	18.615500	0.414575	0.585425	
5495000	-8.633060	309	14.211600	11.027953	0.407863	0.592137	
5496000	-8.804206	393	1.269160	2.318963	0.014414	0.985586	
5497000	-8.671894	393	13.690296	3.884806	0.396971	0.603029	
5498000	-8.695718	273	12.768217	18.908811	0.451773	0.548227	
5499000	-8.078084	449	5.832174	4.806462	0.185770	0.814230	
5500000	-7.707382	65	6.390758	6.302360	0.205331	0.794669	
5501000	-7.674931	72	9.340355	4.900151	0.366125	0.633875	
5502000	-8.259688	189	5.043666	11.982023	0.304693	0.695307	
5503000	-8.688382	114	11.172186	23.978183	0.420232	0.579768	
5504000	-8.095294	193	10.663748	11.951385	0.380737	0.619263	
5505000	-8.243654	54	14.848094	8.309364	0.447061	0.552939	
5506000	-8.522506	397	4.701864	12.486142	0.219427	0.780573	
5507000	-8.315835	365	2.554404	4.488916	0.066153	0.933847	
5508000	-8.723209	115	2.080485	2.330545	0.045555	0.954445	
5509000	-8.487668	308	12.035202	6.622755	0.361236	0.638764	
5510000	-8.662530	191	2.455021	10.943774	0.028352	0.971648	
5511000	-7.740066	106	6.346089	3.970855	0.222432	0.777568	
5512000	-7.598051	258	7.017431	7.438758	0.243447	0.756553	
5513000	-7.544605	243	6.382899	3.504996	0.319713	0.680287	
5514000	-7.811532	138	10.389906	12.116723	0.367281	0.632719	
5515000	-9.469392	248	28.369032	31.322379	0.491679	0.508321	
5516000	-8.582630	48	16.407028	13.970960	0.430873	0.569127	
5517000	-8.758133	226	2.902905	1.480575	0.104118	0.895882	
5518000	-8.121988	391	4.276500	2.066471	0.242617	0.757383	
5519000	-9.348998	390	5.915557	17.031275	0.354819	0.645181	
5520000	-8.715037	386	9.057896	2.600143	0.264066	0.735934	
5521000	-7.718875	104	9.390865	7.420174	0.293873	0.706127	
5522000	-8.582180	484	4.405809	12.038901	0.213619	0.786381	
5523000	-7.861109	377	8.941561	10.342455	0.333586	0.666414	
5524000	-8.410093	36	6.306788	13.559113	0.259044	0.740956	
5525000	-8.850229	328	9.673806	16.929462	0.401783	0.598217	
5526000	-8.149598	487	9.666476	12.532763	0.401132	0.598868	
5527000	-9.965580	262	13.866185	1.321031	0.562134	0.437866	
5528000	-7.364115	460	5.764698	6.068495	0.206874	0.793126	
5529000	-8.787635	80	6.855592	1.377356	0.436548	0.563452	
5530000	-7.837744	386	4.375374	4.821827	0.089770	0.910230	
5531000	-7.808211	391	9.164905	6.341449	0.405867	0.594133	
5532000	-8.200502	45	2.392749	6.544479	0.039494	0.960506	
5533000	-12.060406	45	4.012780	25.340423	0.240075	0.759925	
5534000	-11.150650	221	0.567790	1.202596	0.003296	0.996704	
5535000	-7.766984	43	10.775696	4.910958	0.434204	0.565796	
5536000	-8.889312	423	1.462661	6.028179	0.018328	0.981672	
5537000	-8.662438	55	18.297169	15.119169	0.444172	0.555828	
5538000	-7.991698	155	6.077127	6.718458	0.173301	0.826699	
5539000	-7.844083	23	5.001424	3.972658	0.271255	0.728745	
5540000	-8.294676	202	17.482965	9.248747	0.459497	0.540503	
5541000	-8.182794	344	11.764053	3.612780	0.336060	0.663940	
5542000	-8.261349	360	15.681819	4.582755	0.379746	0.620254	
5543000	-10.095110	192	5.780722	20.849978	0.388932	0.611068	
5544000	-7.949481	72	2.298298	4.214566	0.065390	0.934610	
5545000	-7.606531	482	3.233400	3.823419	0.082799	0.917201	
5546000	-8.401234	160	9.516536	8.950850	0.306722	0.693278	
5547000	-7.996845	9	9.857308	4.448987	0.342637	0.657363	
5548000	-7.976790	370	5.862179	7.234142	0.241496	0.758504	
5549000	-8.119563	9	8.843644	3.443611	0.323835	0.676165	
5550000	-7.802579	317	7.141624	5.050077	0.302635	0.697365	
5551000	-7.526983	10	3.587087	4.160665	0.116956	0.883044	
5552000	-8.066563	22	9.689927	11.574086	0.273268	0.726732	
5553000	-8.722921	497	1.179955	8.293498	0.021294	0.978706	
5554000	-8.610391	248	9.605275	3.328014	0.308381	0.691619	
5555000	-8.007382	250	6.660079	9.634023	0.280123	0.719877	
5556000	-7.904042	285	3.134639	3.872628	0.115108	0.884892	
5557000	-8.058844	138	2.088704	7.622378	0.042671	0.957329	
5558000	-9.130371	372	6.928255	18.795884	0.221029	0.778971	
5559000	-8.498540	317	9.386556	14.483117	0.402458	0.597542	
5560000	-7.825433	75	7.135951	7.950266	0.307572	0.692428	
5561000	-8.690877	253	2.419162	3.398142	0.039482	0.960518	
5562000	-8.325471	141	0.889967	5.511847	0.002325	0.997675	
5563000	-8.029106	26	3.780907	3.253425	0.112449	0.887551	
5564000	-7.885844	490	10.680994	8.254432	0.393682	0.606318	
5565000	-8.482474	15	3.763225	7.338789	0.103974	0.896026	
5566000	-9.330771	230	5.857479	1.308645	0.453067	0.546933	
5567000	-7.886483	480	14.882763	9.009006	0.424647	0.575353	
5568000	-7.401129	342	8.409472	3.345596	0.319890	0.680110	
5569000	-9.358160	12	22.639021	7.385880	0.468261	0.531739	
5570000	-8.469414	390	14.597890	6.674263	0.444819	0.555181	
5571000	-7.337943	102	6.053465	5.934900	0.184625	0.815375	
5572000	-7.958150	217	4.420558	3.823370	0.131495	0.868505	
5573000	-9.675710	206	0.547252	3.564347	0.003057	0.996943	
5574000	-8.221092	353	3.708133	3.484344	0.093125	0.906875	
5575000	-8.975509	155	7.138983	1.265006	0.449384	0.550616	
5576000	-7.610358	57	5.290221	7.737217	0.109649	0.890351	
5577000	-7.589109	287	8.520738	7.562850	0.274920	0.725080	
5578000	-7.794686	109	3.473418	4.426697	0.122014	0.877986	
5579000	-8.145461	404	8.975120	12.333538	0.368937	0.631063	
5580000	-9.524909	308	11.903861	24.077625	0.440395	0.559605	
5581000	-9.163243	115	23.746045	9.896432	0.474215	0.525785	
5582000	-9.357266	237	20.244611	9.128999	0.422273	0.577727	
5583000	-9.845187	67	13.718621	0.787576	0.717903	0.282097	
5584000	-8.092999	261	4.633166	9.146303	0.163836	0.836164	
5585000	-9.684797	28	17.355550	4.067718	0.431676	0.568324	
5586000	-8.558565	288	5.491168	8.272252	0.290058	0.709942	
5587000	-7.673704	51	7.447383	8.581307	0.319452	0.680548	
5588000	-7.893430	189	15.403310	8.031237	0.459037	0.540963	
5589000	-8.003528	246	7.439877	6.784704	0.300941	0.699059	
5590000	-7.838147	42	5.852454	7.028233	0.232915	0.767085	
5591000	-8.813702	408	3.698157	1.733970	0.150039	0.849961	
5592000	-7.598946	200	6.685284	6.448509	0.221701	0.778299	
5593000	-8.040049	67	13.169986	7.443505	0.397806	0.602194	
5594000	-7.923369	158	12.062157	10.190969	0.414350	0.585650	
5595000	-7.990706	214	12.270351	13.081805	0.370639	0.629361	
5596000	-10.077036	179	0.913852	1.589429	0.006296	0.993704	
5597000	-8.694751	39	21.963029	13.299697	0.470205	0.529795	
5598000	-7.345557	278	8.651247	3.630632	0.298367	0.701633	
5599000	-7.549592	25	8.941678	6.163874	0.291670	0.708330	
5600000	-8.075100	415	3.242472	7.523193	0.111386	0.888614	
5601000	-9.004223	337	3.871511	12.160799	0.168380	0.831620	
5602000	-8.335386	77	5.331792	11.318783	0.258981	0.741019	
5603000	-9.885039	189	5.707755	20.631645	0.408611	0.591389	
5604000	-7.602960	296	5.256562	2.836080	0.192668	0.807332	
5605000	-8.281973	188	9.940587	7.114644	0.361482	0.638518	
5606000	-7.440366	270	5.326176	6.354520	0.197763	0.802237	
5607000	-7.726626	212	5.265224	4.243294	0.122842	0.877158	
5608000	-7.998940	5	4.036507	8.942753	0.130600	0.869400	
5609000	-7.783642	333	2.148099	3.002769	0.053387	0.946613	
5610000	-8.117905	200	7.828639	2.400590	0.307955	0.692045	
5611000	-8.366772	394	8.305049	2.362364	0.369307	0.630693	
5612000	-7.991546	425	15.986405	11.049919	0.472724	0.527276	
5613000	-8.374757	324	12.972250	6.396891	0.461528	0.538472	
5614000	-8.680487	228	11.521226	4.001461	0.387819	0.612181	
5615000	-8.992992	43	17.621799	23.742861	0.494690	0.505310	
5616000	-7.577427	243	9.906989	7.364708	0.411865	0.588135	
5617000	-7.962095	100	10.709308	9.873043	0.366452	0.633548	
5618000	-8.418591	420	8.105937	1.386576	0.527702	0.472298	
5619000	-8.754650	179	2.375260	3.313312	0.045264	0.954736	
5620000	-8.123905	437	13.532256	6.456048	0.419873	0.580127	
5621000	-9.140201	198	20.097196	6.195510	0.468728	0.531272	
5622000	-8.162763	147	7.714379	1.961110	0.468653	0.531347	
5623000	-13.496877	109	43.826074	7.561780	0.497556	0.502444	
5624000	-8.971308	84	1.090580	2.180347	0.009756	0.990244	
5625000	-10.188495	100	4.750807	21.052936	0.259564	0.740436	
5626000	-7.986468	431	8.096033	12.942667	0.296189	0.703811	
5627000	-7.786674	198	9.018966	10.646160	0.379718	0.620282	
5628000	-7.177819	278	6.122249	4.026862	0.204872	0.795128	
5629000	-8.174788	43	12.804570	4.444034	0.458861	0.541139	
5630000	-8.678905	324	3.760168	6.764409	0.191303	0.808697	
5631000	-7.650952	139	6.549954	8.485370	0.273370	0.726630	
5632000	-8.658979	409	8.292312	15.509344	0.395545	0.604455	
5633000	-8.408216	129	1.555409	2.450169	0.016127	0.983873	
5634000	-8.699650	279	3.071880	7.199036	0.125481	0.874519	
5635000	-7.905765	346	14.747261	11.705690	0.427527	0.572473	
5636000	-7.355671	460	8.969619	5.794323	0.323898	0.676102	
5637000	-7.300844	321	8.764424	5.680318	0.361949	0.638051	
5638000	-8.051497	11	8.052592	5.402214	0.279981	0.720019	
5639000	-8.591843	152	4.190728	8.603520	0.142949	0.857051	
5640000	-8.099035	433	7.616987	7.947330	0.371181	0.628819	
5641000	-9.064075	174	12.704502	0.950344	0.758605	0.241395	
5642000	-8.072850	125	0.951895	2.756048	0.012354	0.987646	
5643000	-8.599855	91	9.639064	11.385660	0.419815	0.580185	
5644000	-7.895112	89	3.868973	8.669211	0.142059	0.857941	
5645000	-8.232635	167	12.636422	4.167511	0.365385	0.634615	
5646000	-8.317381	149	2.328776	3.696317	0.020341	0.979659	
5647000	-8.212030	466	2.159080	6.051532	0.052767	0.947233	
5648000	-8.047220	5	4.140362	9.304964	0.137307	0.862693	
5649000	-7.944989	467	8.828288	5.975487	0.241752	0.758248	
5650000	-8.119241	218	12.224062	9.623769	0.348231	0.651769	
5651000	-9.473092	124	0.295132	3.109731	0.001187	0.998813	
5652000	-7.644698	109	7.434291	4.224538	0.306371	0.693629	
5653000	-7.783235	495	5.135833	2.848440	0.290730	0.709270	
5654000	-7.617361	489	4.192112	5.037103	0.157836	0.842164	
5655000	-8.583974	372	7.799570	15.803859	0.231369	0.768631	
5656000	-7.258370	145	3.697312	2.518305	0.100636	0.899364	
5657000	-8.394727	448	13.999995	15.188548	0.461649	0.538351	
5658000	-7.848169	161	4.454287	3.165958	0.195331	0.804669	
5659000	-9.193299	418	5.907985	1.478516	0.268136	0.731864	
5660000	-9.436575	459	2.432887	10.045875	0.091114	0.908886	
5661000	-8.466786	403	14.275917	9.331055	0.461380	0.538620	
5662000	-7.748763	18	8.896869	3.359409	0.233361	0.766639	
5663000	-8.829412	498	9.891921	2.138967	0.546843	0.453157	
5664000	-7.788365	56	7.335633	3.059829	0.255991	0.744009	
5665000	-8.363291	470	3.369523	5.864772	0.080825	0.919175	
5666000	-9.144769	21	1.387240	8.765790	0.036652	0.963348	
5667000	-8.579489	63	13.228132	1.919267	0.434621	0.565379	
5668000	-7.661233	359	5.392384	3.918164	0.321796	0.678204	
5669000	-9.400968	53	14.963114	2.587337	0.459459	0.540541	
5670000	-8.114304	493	2.335408	1.959930	0.059528	0.940472	
5671000	-8.552560	325	3.278809	4.692441	0.146441	0.853559	
5672000	-8.816107	166	12.576704	7.167610	0.372372	0.627628	
5673000	-8.411755	187	2.623317	9.986878	0.045434	0.954566	
5674000	-8.072148	159	8.336783	3.019075	0.341935	0.658065	
5675000	-9.931471	344	0.775000	11.747052	0.006048	0.993952	
5676000	-9.432166	76	4.926951	17.687385	0.222350	0.777650	
5677000	-8.422298	446	11.283201	17.874524	0.388468	0.611532	
5678000	-8.996897	112	26.060256	13.418026	0.476263	0.523737	
5679000	-6.906137	400	4.801544	5.353741	0.073263	0.926737	
5680000	-8.632836	148	10.367702	5.458403	0.417624	0.582376	
5681000	-7.421467	66	6.273402	4.648761	0.176582	0.823418	
5682000	-8.566885	376	14.051429	12.854298	0.393323	0.606677	
5683000	-9.644063	291	21.771699	5.483309	0.452960	0.547040	
5684000	-8.378005	261	13.700989	12.479244	0.412192	0.587808	
5685000	-7.588709	444	6.410395	5.595173	0.236808	0.763192	
5686000	-7.156831	18	5.420962	5.602054	0.111740	0.888260	
5687000	-8.404559	122	11.673047	8.136205	0.366658	0.633342	
5688000	-7.809746	139	5.768422	9.262599	0.250274	0.749726	
5689000	-8.078390	361	11.532557	12.134508	0.419582	0.580418	
5690000	-9.369753	335	11.142388	1.355247	0.416186	0.583814	
5691000	-7.825237	46	15.411716	7.746831	0.354187	0.645813	
5692000	-7.423802	313	6.816449	7.990073	0.182839	0.817161	
5693000	-7.580107	310	4.973367	3.941598	0.157339	0.842661	
5694000	-7.879789	127	10.119950	4.346641	0.323922	0.676078	
5695000	-7.720676	4	4.135682	5.720388	0.109298	0.890702	
5696000	-8.817409	374	18.961853	7.048953	0.477687	0.522313	
5697000	-8.389468	303	3.458556	9.446710	0.236830	0.763170	
5698000	-10.720989	21	2.222426	14.934358	0.128639	0.871361	
5699000	-8.186590	65	1.442482	3.778735	0.014660	0.985340	
5700000	-7.666385	321	11.971259	12.215865	0.448923	0.551077	
5701000	-8.244173	423	9.154203	5.262623	0.311533	0.688467	
5702000	-9.553494	70	7.782638	0.900469	0.503552	0.496448	
5703000	-7.568388	30	3.547948	7.040045	0.129169	0.870831	
5704000	-8.818790	171	16.085994	3.707857	0.434907	0.565093	
5705000	-8.248577	427	6.411557	2.828100	0.242290	0.757710	
5706000	-7.367694	224	6.425466	5.765756	0.172713	0.827287	
5707000	-7.523690	321	7.342390	3.212284	0.308342	0.691658	
5708000	-8.577593	431	3.447474	1.200185	0.096966	0.903034	
5709000	-9.003354	242	4.445192	15.663073	0.174062	0.825938	
5710000	-8.045197	336	14.456318	9.777488	0.429484	0.570516	
5711000	-7.501832	310	5.879068	6.735658	0.182138	0.817862	
5712000	-8.302737	68	8.404204	2.698865	0.370333	0.629667	
5713000	-7.648896	52	4.898483	4.939589	0.181746	0.818254	
5714000	-7.304866	63	9.502139	7.424748	0.241096	0.758904	
5715000	-8.461671	254	3.003234	3.537548	0.096918	0.903082	
5716000	-7.875305	447	14.934962	14.826538	0.354257	0.645743	
5717000	-9.727670	266	1.563137	8.813349	0.055828	0.944172	
5718000	-8.322652	130	9.241801	1.974472	0.474686	0.525314	
5719000	-8.374140	413	12.079631	11.341651	0.379128	0.620872	
5720000	-7.775998	205	7.351584	8.527717	0.290952	0.709048	
5721000	-8.146689	425	12.982039	14.196897	0.465915	0.534085	
5722000	-8.555503	480	5.410811	14.229502	0.259446	0.740554	
5723000	-8.191805	463	9.951005	7.243028	0.369657	0.630343	
5724000	-8.366524	298	4.054542	4.323188	0.145763	0.854237	
5725000	-8.058255	471	9.015624	12.572913	0.267949	0.732051	
5726000	-8.423203	74	12.086874	7.888655	0.380261	0.619739	
5727000	-8.405924	168	1.539308	3.647484	0.036518	0.963482	
5728000	-7.635306	56	8.107479	7.097834	0.259198	0.740802	
5729000	-8.439218	438	5.274317	1.695781	0.176466	0.823534	
5730000	-8.763153	75	3.574604	11.094489	0.178909	0.821091	
5731000	-7.709100	307	9.832650	5.851817	0.355031	0.644969	
5732000	-8.546774	385	18.353224	9.128271	0.458204	0.541796	
5733000	-7.483402	112	5.180466	3.254587	0.166325	0.833675	
5734000	-9.748555	186	1.625489	11.386470	0.038235	0.961765	
5735000	-7.906779	34	4.863008	7.001104	0.259661	0.740339	
5736000	-8.281936	159	1.825751	2.327174	0.029770	0.970230	
5737000	-8.436096	85	12.217970	16.394679	0.384758	0.615242	
5738000	-8.549605	16	6.051357	7.750757	0.289157	0.710843	
5739000	-8.341386	284	4.162451	7.092810	0.160852	0.839148	
5740000	-8.288300	256	3.990871	8.612631	0.153406	0.846594	
5741000	-9.196899	422	4.620143	7.946352	0.239109	0.760891	
5742000	-8.208045	312	8.077775	2.857352	0.272470	0.727530	
5743000	-7.530985	302	5.528650	6.047836	0.146181	0.853819	
5744000	-7.486383	186	7.070975	5.510603	0.287494	0.712506	
5745000	-9.586623	15	1.259486	2.264460	0.012014	0.987986	
5746000	-7.985837	445	9.681741	8.617337	0.349337	0.650663	
5747000	-8.209041	262	10.038824	14.842448	0.413280	0.586720	
5748000	-8.014423	325	8.669978	8.326478	0.392900	0.607100	
5749000	-9.705339	334	9.851042	0.761904	0.720412	0.279588	
5750000	-8.210518	87	5.466737	5.215627	0.168807	0.831193	
5751000	-8.258271	167	17.722207	9.980922	0.437843	0.562157	
5752000	-7.736449	223	5.461994	4.667181	0.162574	0.837426	
5753000	-7.857836	207	3.398162	9.771816	0.085129	0.914871	
5754000	-9.202049	357	1.238147	1.610437	0.006662	0.993338	
5755000	-8.003921	175	5.111144	5.851659	0.194196	0.805804	
5756000	-7.292005	407	4.615701	4.211094	0.216216	0.783784	
5757000	-7.572308	429	10.345886	4.771744	0.347602	0.652398	
5758000	-8.152440	92	11.510457	8.291098	0.253033	0.746967	
5759000	-7.208141	18	6.040471	5.013842	0.131924	0.868076	
5760000	-8.298190	172	13.352925	12.638138	0.401775	0.598225	
5761000	-7.364468	400	3.532471	9.617768	0.046993	0.953007	
5762000	-8.733378	292	2.731438	2.190360	0.049688	0.950312	
5763000	-8.718123	355	18.149476	14.877432	0.440898	0.559102	
5764000	-9.806856	380	1.030862	8.689247	0.009050	0.990950	
5765000	-8.227545	393	3.609639	2.097302	0.109438	0.890562	
5766000	-8.747305	297	9.445386	1.203398	0.594140	0.405860	
5767000	-9.179883	457	6.809550	19.399316	0.287287	0.712713	
5768000	-7.984000	342	17.586793	5.989560	0.449581	0.550419	
5769000	-7.660269	85	8.323039	7.671477	0.247056	0.752944	
5770000	-7.688822	205	6.750616	6.696610	0.258215	0.741785	
5771000	-8.558359	361	5.244089	11.547252	0.260514	0.739486	
5772000	-7.450115	484	4.520293	4.153720	0.158519	0.841481	
5773000	-8.087539	475	12.267828	15.062684	0.393738	0.606262	
5774000	-7.311896	82	4.102585	2.820659	0.151022	0.848978	
5775000	-8.997596	82	16.762166	4.665476	0.448064	0.551936	
5776000	-9.795996	424	12.497193	1.213782	0.618901	0.381099	
5777000	-8.079979	457	12.133200	12.323607	0.369896	0.630104	
5778000	-8.208574	89	1.652225	5.384775	0.027834	0.972166	
5779000	-7.833442	143	5.920281	6.715904	0.287029	0.712971	
5780000	-9.096676	115	24.494441	11.730510	0.477594	0.522406	
5781000	-8.237876	480	13.547899	18.359933	0.444508	0.555492	
5782000	-8.215386	280	10.620800	11.399371	0.354192	0.645808	
5783000	-8.699204	152	2.739318	3.072362	0.066052	0.933948	
5784000	-7.895130	332	11.817536	7.502115	0.360150	0.639850	
5785000	-9.164126	427	20.273375	8.184652	0.457047	0.542953	
5786000	-7.841493	471	6.276660	2.992968	0.178740	0.821260	
5787000	-7.523179	130	9.065916	5.938113	0.328487	0.671513	
5788000	-8.100413	218	12.129728	9.193253	0.345202	0.654798	
5789000	-8.742554	245	0.947479	5.962888	0.009005	0.990995	
5790000	-7.509778	40	5.627339	2.627068	0.190422	0.809578	
5791000	-8.213428	349	16.577709	12.457837	0.419267	0.580733	
5792000	-7.517428	373	7.311086	7.697390	0.287867	0.712133	
5793000	-7.884256	151	5.829214	4.426332	0.185502	0.814498	
5794000	-8.092217	113	9.702865	4.276554	0.287674	0.712326	
5795000	-8.580713	143	3.678729	2.204943	0.200225	0.799775	
5796000	-8.483103	147	4.375291	1.618417	0.287894	0.712106	
5797000	-8.768322	114	13.588465	2.361333	0.420422	0.579578	
5798000	-7.750417	8	6.408155	7.387557	0.305031	0.694969	
5799000	-7.578674	174	10.140693	10.578917	0.336127	0.663873	
5800000	-8.560272	201	12.138522	4.728333	0.362976	0.637024	
5801000	-7.886975	446	3.951438	7.632150	0.111583	0.888417	
5802000	-8.471363	439	22.394283	7.760189	0.462183	0.537817	
5803000	-9.205080	113	21.956598	8.370617	0.448423	0.551577	
