Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_reduction_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2519532377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   Artiodactyl_reduction_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    qDG                          RJ MCMC
    qGD                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qDG	qGD	Root P(D)	Root P(G)	RJRates - Mean	
156000	-7.246279	18	1	0	'0 0 	7.668506	7.668506	0.186824	0.813176	88.128951	
157000	-8.166602	254	1	0	'0 0 	5.104197	5.104197	0.212271	0.787729	82.071976	
158000	-9.971420	421	1	0	'0 0 	52.084392	52.084392	0.499966	0.500034	74.436003	
159000	-8.944592	311	1	0	'0 0 	2.878115	2.878115	0.089159	0.910841	66.403191	
160000	-10.360057	125	1	0	'0 0 	56.454371	56.454371	0.499996	0.500004	62.505963	
161000	-9.483190	36	1	0	'0 0 	32.657741	32.657741	0.494194	0.505806	60.301479	
162000	-7.836135	146	1	0	'0 0 	8.491784	8.491784	0.300879	0.699121	66.435327	
163000	-6.961291	428	1	0	'0 0 	7.572571	7.572571	0.227523	0.772477	64.550759	
164000	-7.427552	66	1	0	'0 0 	7.400005	7.400005	0.227843	0.772157	56.982736	
165000	-7.850088	413	1	0	'0 0 	5.165136	5.165136	0.155917	0.844083	44.807890	
166000	-7.717065	374	1	0	'0 0 	6.491686	6.491686	0.302846	0.697154	31.349477	
167000	-7.265487	18	1	0	'0 0 	7.916733	7.916733	0.194904	0.805096	34.490173	
168000	-8.498805	499	1	0	'0 0 	12.681395	12.681395	0.405632	0.594368	25.398265	
169000	-7.606013	174	1	0	'0 0 	11.064773	11.064773	0.356580	0.643420	41.958249	
170000	-7.893779	226	1	0	'0 0 	4.758201	4.758201	0.195708	0.804292	44.638319	
171000	-7.415243	465	1	0	'0 0 	5.836223	5.836223	0.242954	0.757046	3.322950	
172000	-7.729526	334	1	0	'0 0 	4.718641	4.718641	0.126780	0.873220	46.795178	
173000	-8.242306	200	1	0	'0 0 	2.631974	2.631974	0.051869	0.948131	38.839918	
174000	-8.520925	9	1	0	'0 0 	2.426729	2.426729	0.051191	0.948809	30.728624	
175000	-7.392240	412	1	0	'0 0 	4.323443	4.323443	0.134664	0.865336	22.149050	
176000	-7.637862	233	1	0	'0 0 	3.978036	3.978036	0.086914	0.913086	15.217408	
177000	-7.864519	486	1	0	'0 0 	8.629104	8.629104	0.298106	0.701894	21.238838	
178000	-9.441510	493	1	0	'0 0 	34.509189	34.509189	0.498917	0.501083	44.939114	
179000	-7.906300	151	1	0	'0 0 	7.829831	7.829831	0.265552	0.734448	60.228222	
180000	-9.090512	48	1	0	'0 0 	20.608042	20.608042	0.469882	0.530118	83.225730	
181000	-9.555743	42	1	0	'0 0 	32.743984	32.743984	0.496211	0.503789	67.058206	
182000	-8.294639	131	1	0	'0 0 	15.037439	15.037439	0.393076	0.606924	82.579659	
183000	-8.648394	30	1	0	'0 0 	20.219824	20.219824	0.484519	0.515481	98.989193	
184000	-9.937163	181	1	0	'0 0 	44.784054	44.784054	0.498493	0.501507	77.358968	
185000	-7.772909	8	1	0	'0 0 	8.067672	8.067672	0.360577	0.639423	80.746513	
186000	-7.782994	111	1	0	'0 0 	9.958032	9.958032	0.338182	0.661818	90.898024	
187000	-7.793475	475	1	0	'0 0 	4.180946	4.180946	0.105952	0.894048	86.147582	
188000	-7.778286	272	1	0	'0 0 	6.545799	6.545799	0.264827	0.735173	85.082254	
189000	-8.554925	432	1	0	'0 0 	18.145637	18.145637	0.449584	0.550416	84.166158	
190000	-9.711111	26	1	0	'0 0 	38.161957	38.161957	0.499311	0.500689	68.679626	
191000	-10.382618	73	1	0	'0 0 	75.438132	75.438132	0.499959	0.500041	91.267819	
192000	-7.328550	114	1	0	'0 0 	9.091427	9.091427	0.296223	0.703777	85.808844	
193000	-8.630145	41	1	0	'0 0 	18.469682	18.469682	0.469305	0.530695	90.667464	
194000	-9.189582	358	1	0	'0 0 	1.659240	1.659240	0.026767	0.973233	93.607790	
195000	-8.966866	253	1	0	'0 0 	22.048366	22.048366	0.470501	0.529499	93.957916	
196000	-8.737367	30	1	0	'0 0 	21.237682	21.237682	0.487216	0.512784	86.909989	
197000	-9.758103	83	1	0	'0 0 	27.841626	27.841626	0.499020	0.500980	92.259181	
198000	-9.525417	291	1	0	'0 0 	1.677911	1.677911	0.022129	0.977871	90.937551	
199000	-8.952386	111	1	0	'0 0 	28.876551	28.876551	0.492310	0.507690	73.815954	
200000	-8.112119	263	1	0	'0 0 	8.875667	8.875667	0.323038	0.676962	69.261172	
201000	-7.852267	283	1	0	'0 0 	2.403247	2.403247	0.038647	0.961353	76.107926	
202000	-8.762097	124	1	0	'0 0 	17.367033	17.367033	0.478509	0.521491	66.648962	
203000	-7.977184	155	1	0	'0 0 	6.924058	6.924058	0.205899	0.794101	56.209575	
204000	-9.939342	357	1	0	'0 0 	63.350479	63.350479	0.499708	0.500292	54.518515	
205000	-8.042022	136	1	0	'0 0 	12.680907	12.680907	0.394653	0.605347	63.182262	
206000	-8.766101	226	1	0	'0 0 	15.639639	15.639639	0.471034	0.528966	68.706262	
207000	-7.865805	438	1	0	'0 0 	3.099104	3.099104	0.063524	0.936476	59.193795	
208000	-8.659244	331	1	0	'0 0 	21.066311	21.066311	0.483592	0.516408	66.320259	
209000	-7.487594	138	1	0	'0 0 	8.460972	8.460972	0.298246	0.701754	44.949215	
210000	-7.552611	299	1	0	'0 0 	7.192797	7.192797	0.305174	0.694826	57.379336	
211000	-7.749828	397	1	0	'0 0 	5.754593	5.754593	0.218771	0.781229	57.519131	
212000	-7.987860	178	1	0	'0 0 	2.395706	2.395706	0.086295	0.913705	60.709323	
213000	-8.676207	21	1	0	'0 0 	16.810209	16.810209	0.475302	0.524698	63.112811	
214000	-7.929567	103	1	0	'0 0 	7.763049	7.763049	0.288104	0.711896	47.748298	
215000	-7.360522	138	1	0	'0 0 	6.901505	6.901505	0.239032	0.760968	55.129530	
216000	-8.884039	116	1	0	'0 0 	22.938701	22.938701	0.471210	0.528790	56.308499	
217000	-7.571763	453	1	0	'0 0 	6.348475	6.348475	0.190572	0.809428	75.226445	
218000	-7.813867	104	1	0	'0 0 	6.958568	6.958568	0.222012	0.777988	93.978402	
219000	-7.914510	217	1	0	'0 0 	8.311077	8.311077	0.292921	0.707079	93.155324	
220000	-8.093499	489	1	0	'0 0 	2.661856	2.661856	0.078337	0.921663	90.538429	
221000	-7.799846	386	1	0	'0 0 	7.332150	7.332150	0.197827	0.802173	93.863899	
222000	-9.465682	110	1	0	'0 0 	1.528201	1.528201	0.040260	0.959740	99.566337	
223000	-7.879100	209	1	0	'0 0 	4.657871	4.657871	0.128061	0.871939	99.105143	
224000	-8.102737	257	1	0	'0 0 	3.042323	3.042323	0.095967	0.904033	98.560798	
225000	-8.378451	213	1	0	'0 0 	10.901622	10.901622	0.379430	0.620570	88.527433	
226000	-8.488891	231	1	0	'0 0 	10.945336	10.945336	0.444734	0.555266	89.397776	
227000	-7.992526	436	1	0	'0 0 	8.426566	8.426566	0.386922	0.613078	56.798748	
228000	-7.894679	64	1	0	'0 0 	10.748263	10.748263	0.335324	0.664676	65.294669	
229000	-7.952762	176	1	0	'0 0 	6.550388	6.550388	0.181010	0.818990	52.525880	
230000	-7.693852	332	1	0	'0 0 	9.814540	9.814540	0.334747	0.665253	54.557586	
231000	-8.584698	216	1	0	'0 0 	12.242054	12.242054	0.419441	0.580559	62.054151	
232000	-7.350938	93	1	0	'0 0 	7.078282	7.078282	0.237491	0.762509	55.579994	
233000	-7.886527	62	1	0	'0 0 	10.300255	10.300255	0.368651	0.631349	57.272556	
234000	-7.707051	258	1	0	'0 0 	9.075358	9.075358	0.314733	0.685267	33.668306	
235000	-8.133483	254	1	0	'0 0 	6.050237	6.050237	0.257879	0.742121	18.794318	
236000	-7.748481	421	1	0	'0 0 	11.753872	11.753872	0.410137	0.589863	6.019799	
237000	-7.635106	147	1	0	'0 0 	10.191774	10.191774	0.360167	0.639833	3.426774	
238000	-8.225695	213	1	0	'0 0 	3.894088	3.894088	0.114770	0.885230	23.381121	
239000	-8.135570	206	1	0	'0 0 	11.430579	11.430579	0.407168	0.592832	28.090684	
240000	-8.982150	314	1	0	'0 0 	25.848297	25.848297	0.495548	0.504452	12.476731	
241000	-8.236298	341	1	0	'0 0 	3.502190	3.502190	0.097582	0.902418	1.629466	
242000	-7.400422	497	1	0	'0 0 	8.002902	8.002902	0.326576	0.673424	11.097261	
243000	-7.744588	415	1	0	'0 0 	7.058204	7.058204	0.276383	0.723617	8.995376	
244000	-8.214089	177	1	0	'0 0 	2.763596	2.763596	0.082854	0.917146	7.047170	
245000	-7.696040	250	1	0	'0 0 	6.458207	6.458207	0.249322	0.750678	15.131797	
246000	-8.702699	476	1	0	'0 0 	19.578072	19.578072	0.420219	0.579781	22.074406	
247000	-8.244890	456	1	0	'0 0 	4.265910	4.265910	0.130448	0.869552	22.957111	
248000	-7.507177	333	1	0	'0 0 	9.543633	9.543633	0.390945	0.609055	47.261913	
249000	-7.912174	489	1	0	'0 0 	3.080187	3.080187	0.099674	0.900326	52.753208	
250000	-7.899511	45	1	0	'0 0 	3.815521	3.815521	0.103042	0.896958	86.171792	
251000	-10.110977	347	1	0	'0 0 	48.088069	48.088069	0.499766	0.500234	86.806402	
252000	-10.079880	152	1	0	'0 0 	51.268697	51.268697	0.499790	0.500210	75.351786	
253000	-7.595652	471	1	0	'0 0 	6.352133	6.352133	0.161340	0.838660	55.137655	
